""	"task"	"gini"	"pielou"	"simpson"	"task_size"	"CV"	"NLP"	"Methodology"
"0"	"2D Object Detection"	"0.8861826697892273"	"0.4367089595522856"	"0.07008958507568396"	"610"	"1"	"0"	"0"
"1"	"3D Face Reconstruction"	"0.5845875978326309"	"0.8342103795772025"	"0.37653994781517314"	"151"	"1"	"0"	"0"
"2"	"3D Human Pose Estimation"	"0.7508739930080559"	"0.7064063904315276"	"0.1898640236508818"	"612"	"1"	"0"	"0"
"3"	"3D Object Detection"	"0.7786740114105843"	"0.6139055067222704"	"0.153843488559621"	"442"	"1"	"0"	"0"
"4"	"3D Reconstruction"	"0.7206643658326143"	"0.6851680053037681"	"0.14312432988600252"	"244"	"1"	"0"	"0"
"5"	"3D Scene Reconstruction"	"0.5332409972299169"	"0.849489745778734"	"0.475"	"76"	"1"	"0"	"0"
"6"	"3D Semantic Segmentation"	"0.6509523809523811"	"0.7753249463106321"	"0.3252062497119418"	"168"	"1"	"0"	"0"
"7"	"6D Pose Estimation"	"0.7364470391993329"	"0.6525984030326848"	"0.2956355130884841"	"109"	"1"	"0"	"0"
"8"	"Action Classification"	"0.7442084942084942"	"0.6990668670681559"	"0.1864211566612423"	"448"	"1"	"0"	"0"
"9"	"Action Detection"	"0.7454708118989041"	"0.6693440796484815"	"0.2865778374391992"	"263"	"1"	"0"	"0"
"10"	"Action Recognition"	"0.8227726288535784"	"0.6594167565575576"	"0.12057159880095573"	"2129"	"1"	"0"	"0"
"11"	"Action Segmentation"	"0.603515625"	"0.7678324769414737"	"0.3318748987198185"	"64"	"1"	"0"	"0"
"12"	"Activity Recognition"	"0.7259036144578312"	"0.6008110086594667"	"0.16466285823553317"	"83"	"1"	"0"	"0"
"13"	"Adversarial Attack"	"0.953125"	"0.1487137337627871"	"0.2705773550006606"	"128"	"1"	"0"	"0"
"14"	"Adversarial Defense"	"0.5568345323741007"	"0.7730502438193251"	"0.5830466533888586"	"139"	"0"	"0"	"0"
"15"	"Anomaly Detection"	"0.7157115814833935"	"0.7318265463605459"	"0.30275879938359995"	"447"	"1"	"0"	"1"
"16"	"Atari Games"	"0.967816091954023"	"0.11175888746184696"	"0.26430582792779206"	"145"	"0"	"0"	"0"
"17"	"AutoML"	"0.8080808080808081"	"0.4888861976006368"	"0.38699360341151384"	"66"	"0"	"0"	"1"
