""	"task"	"year"	"gini"	"pielou"	"simpson"	"task_size"	"task_age"	"pwc_size"	"CV"	"NLP"	"Methodology"
"0"	"2D Object Detection"	"2011"	""	""	"1.0"	"1"	"2013.0"	"359"	"1"	"0"	"0"
"1"	"2D Object Detection"	"2012"	""	""	"1.0"	"1"	"2013.0"	"4735"	"1"	"0"	"0"
"2"	"2D Object Detection"	"2014"	"0.6666666666666666"	"0.6500224216483541"	"0.6923076923076922"	"6"	"2013.0"	"9766"	"1"	"0"	"0"
"3"	"2D Object Detection"	"2015"	"0.7419354838709676"	"0.5777597670575704"	"0.4490654205607475"	"31"	"2013.0"	"12115"	"1"	"0"	"0"
"4"	"2D Object Detection"	"2016"	"0.7824074074074074"	"0.5122868902533821"	"0.21513944223107567"	"54"	"2013.0"	"17276"	"1"	"0"	"0"
"5"	"2D Object Detection"	"2017"	"0.8160000000000001"	"0.4618836440362578"	"0.26743688489516476"	"50"	"2013.0"	"23430"	"1"	"0"	"0"
"6"	"2D Object Detection"	"2018"	"0.8190476190476191"	"0.4812915239031314"	"0.15644289302285982"	"105"	"2013.0"	"36754"	"1"	"0"	"0"
"7"	"2D Object Detection"	"2019"	"0.8250000000000002"	"0.49611848369583805"	"0.1440456242467002"	"140"	"2013.0"	"49025"	"1"	"0"	"0"
"8"	"2D Object Detection"	"2020"	"0.7693194925028836"	"0.6175665533776344"	"0.19955500997391434"	"153"	"2013.0"	"63637"	"1"	"0"	"0"
"9"	"2D Object Detection"	"2021"	"0.6739130434782609"	"0.689006177358958"	"0.2632859591881878"	"69"	"2013.0"	"37713"	"1"	"0"	"0"
"10"	"3D Face Reconstruction"	"2015"	"0.125"	"0.979569764547061"	"0.9142857142857144"	"8"	"2014.0"	"12115"	"1"	"0"	"0"
"11"	"3D Face Reconstruction"	"2016"	"0.16666666666666666"	"0.9697238998682473"	"0.9"	"6"	"2014.0"	"17276"	"1"	"0"	"0"
"12"	"3D Face Reconstruction"	"2017"	"0.2777777777777778"	"0.9499420132200559"	"0.8"	"16"	"2014.0"	"23430"	"1"	"0"	"0"
"13"	"3D Face Reconstruction"	"2018"	"0.3174603174603175"	"0.941001684744389"	"0.7253731343283586"	"27"	"2014.0"	"36754"	"1"	"0"	"0"
"14"	"3D Face Reconstruction"	"2019"	"0.4389140271493214"	"0.8883700913077301"	"0.5814889336016097"	"34"	"2014.0"	"49025"	"1"	"0"	"0"
"15"	"3D Face Reconstruction"	"2020"	"0.4222222222222222"	"0.8990793817609005"	"0.6054936305732486"	"39"	"2014.0"	"63637"	"1"	"0"	"0"
"16"	"3D Face Reconstruction"	"2021"	"0.21904761904761905"	"0.9552222128375472"	"0.7449324324324327"	"21"	"2014.0"	"37713"	"1"	"0"	"0"
"17"	"3D Human Pose Estimation"	"2013"	""	""	"1.0"	"1"	"2010.0"	"6822"	"1"	"0"	"0"
"18"	"3D Human Pose Estimation"	"2014"	""	""	"1.0"	"2"	"2010.0"	"9766"	"1"	"0"	"0"
"19"	"3D Human Pose Estimation"	"2015"	"0.7142857142857143"	"0.5916727785823274"	"0.6621621621621622"	"7"	"2010.0"	"12115"	"1"	"0"	"0"
"20"	"3D Human Pose Estimation"	"2016"	"0.47857142857142854"	"0.853069216438893"	"0.5482517482517483"	"28"	"2010.0"	"17276"	"1"	"0"	"0"
"21"	"3D Human Pose Estimation"	"2017"	"0.5364583333333333"	"0.8114839739832023"	"0.37647058823529406"	"48"	"2010.0"	"23430"	"1"	"0"	"0"
"22"	"3D Human Pose Estimation"	"2018"	"0.6054794520547945"	"0.7814261213852387"	"0.3656009879253568"	"73"	"2010.0"	"36754"	"1"	"0"	"0"
"23"	"3D Human Pose Estimation"	"2019"	"0.670126019273536"	"0.750587093575545"	"0.3200634920634921"	"142"	"2010.0"	"49025"	"1"	"0"	"0"
"24"	"3D Human Pose Estimation"	"2020"	"0.6604414261460102"	"0.7765577702450756"	"0.2975869304556355"	"209"	"2010.0"	"63637"	"1"	"0"	"0"
"25"	"3D Human Pose Estimation"	"2021"	"0.5514705882352942"	"0.8438273719034077"	"0.42378818737270874"	"102"	"2010.0"	"37713"	"1"	"0"	"0"
"26"	"3D Object Detection"	"2015"	"0.0"	"1.0000000000000002"	"0.9999999999999998"	"5"	"2012.0"	"12115"	"1"	"0"	"0"
"27"	"3D Object Detection"	"2016"	"0.48148148148148145"	"0.8288713632524446"	"0.6532258064516129"	"9"	"2012.0"	"17276"	"1"	"0"	"0"
"28"	"3D Object Detection"	"2017"	"0.39285714285714285"	"0.8932941324021465"	"0.7259259259259261"	"14"	"2012.0"	"23430"	"1"	"0"	"0"
"29"	"3D Object Detection"	"2018"	"0.6430976430976431"	"0.6727964136332958"	"0.2785166240409206"	"33"	"2012.0"	"36754"	"1"	"0"	"0"
"30"	"3D Object Detection"	"2019"	"0.7227722772277227"	"0.6099610245490518"	"0.19159685962210285"	"101"	"2012.0"	"49025"	"1"	"0"	"0"
"31"	"3D Object Detection"	"2020"	"0.7363834422657952"	"0.6542911932658658"	"0.21479080730701244"	"162"	"2012.0"	"63637"	"1"	"0"	"0"
"32"	"3D Object Detection"	"2021"	"0.7005649717514124"	"0.692526491639729"	"0.2621234939759036"	"118"	"2012.0"	"37713"	"1"	"0"	"0"
"33"	"3D Reconstruction"	"2015"	""	""	"1.0"	"1"	"2008.0"	"12115"	"1"	"0"	"0"
"34"	"3D Reconstruction"	"2016"	"0.2857142857142857"	"0.9165164431996023"	"0.7538461538461539"	"7"	"2008.0"	"17276"	"1"	"0"	"0"
"35"	"3D Reconstruction"	"2017"	"0.5290322580645161"	"0.800660416799774"	"0.4063424947145877"	"31"	"2008.0"	"23430"	"1"	"0"	"0"
"36"	"3D Reconstruction"	"2018"	"0.4718954248366013"	"0.8666816992555358"	"0.47071129707112974"	"45"	"2008.0"	"36754"	"1"	"0"	"0"
"37"	"3D Reconstruction"	"2019"	"0.5651260504201681"	"0.8046074956717536"	"0.36296296296296293"	"56"	"2008.0"	"49025"	"1"	"0"	"0"
"38"	"3D Reconstruction"	"2020"	"0.6582552271088681"	"0.684391129385025"	"0.1937818181818182"	"73"	"2008.0"	"63637"	"1"	"0"	"0"
"39"	"3D Reconstruction"	"2021"	"0.5419354838709678"	"0.7970204423333721"	"0.4063424947145877"	"31"	"2008.0"	"37713"	"1"	"0"	"0"
"40"	"3D Scene Reconstruction"	"2015"	"0.0"	"1.0"	"1.0"	"2"	"2008.0"	"12115"	"1"	"0"	"0"
"41"	"3D Scene Reconstruction"	"2016"	"0.0"	"1.0"	"1.0"	"2"	"2008.0"	"17276"	"1"	"0"	"0"
"42"	"3D Scene Reconstruction"	"2017"	"0.44999999999999996"	"0.8445412464587145"	"0.625"	"10"	"2008.0"	"23430"	"1"	"0"	"0"
"43"	"3D Scene Reconstruction"	"2018"	"0.3544973544973545"	"0.9226478039965375"	"0.7229508196721312"	"21"	"2008.0"	"36754"	"1"	"0"	"0"
"44"	"3D Scene Reconstruction"	"2019"	"0.2818181818181818"	"0.9538839771799713"	"0.8148148148148149"	"22"	"2008.0"	"49025"	"1"	"0"	"0"
"45"	"3D Scene Reconstruction"	"2020"	"0.2967032967032967"	"0.9383574700386478"	"0.7824074074074072"	"13"	"2008.0"	"63637"	"1"	"0"	"0"
"46"	"3D Scene Reconstruction"	"2021"	"0.2222222222222222"	"0.9591479170272448"	"0.8999999999999999"	"6"	"2008.0"	"37713"	"1"	"0"	"0"
"47"	"3D Semantic Segmentation"	"2016"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"2016.0"	"17276"	"1"	"0"	"0"
"48"	"3D Semantic Segmentation"	"2017"	"0.28888888888888886"	"0.935944697445866"	"0.7941176470588235"	"9"	"2016.0"	"23430"	"1"	"0"	"0"
"49"	"3D Semantic Segmentation"	"2018"	"0.40277777777777773"	"0.8902066119047681"	"0.6206896551724139"	"18"	"2016.0"	"36754"	"1"	"0"	"0"
"50"	"3D Semantic Segmentation"	"2019"	"0.4444444444444444"	"0.8854580676725214"	"0.6481012658227848"	"32"	"2016.0"	"49025"	"1"	"0"	"0"
"51"	"3D Semantic Segmentation"	"2020"	"0.5451219512195122"	"0.8408897015093298"	"0.43622680679901393"	"82"	"2016.0"	"63637"	"1"	"0"	"0"
"52"	"3D Semantic Segmentation"	"2021"	"0.3560606060606061"	"0.9260274924386706"	"0.7058823529411766"	"24"	"2016.0"	"37713"	"1"	"0"	"0"
