""	"task"	"year"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"pwc_size"	"CV"	"NLP"	"Methodology"
"0"	"2D Human Pose Estimation"	"2010.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"353"	"1"	"0"	"0"
"1"	"2D Human Pose Estimation"	"2021.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2010.0"	""	"inf"	""	"1.0"	"37713"	"1"	"0"	"0"
"2"	"2D Object Detection"	"2018.0"	"1.0"	"12.0"	"7.0"	"0.0"	"13.0"	"2013.0"	"inf"	"0.14285714285714285"	"1.0"	"0.125"	"36754"	"1"	"0"	"0"
"3"	"2D Object Detection"	"2020.0"	"1.0"	"59.0"	"0.0"	"3.0"	"63.0"	"2013.0"	"19.666666666666668"	"inf"	"0.9516129032258065"	"1.0"	"63637"	"1"	"0"	"0"
"5"	"3D Action Recognition"	"2014.0"	"1.0"	"1.0"	"0.0"	"2.0"	"4.0"	"2014.0"	"0.5"	"inf"	"0.3333333333333333"	"1.0"	"9766"	"1"	"0"	"0"
"6"	"3D Action Recognition"	"2016.0"	"1.0"	"1.0"	"0.0"	"1.0"	"3.0"	"2014.0"	"1.0"	"inf"	"0.5"	"1.0"	"17276"	"1"	"0"	"0"
"7"	"3D Depth Estimation"	"2009.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"254"	"1"	"0"	"0"
"8"	"3D Face Reconstruction"	"2016.0"	"1.0"	"6.0"	"0.0"	"1.0"	"8.0"	"2014.0"	"6.0"	"inf"	"0.8571428571428571"	"1.0"	"17276"	"1"	"0"	"0"
"9"	"3D Face Reconstruction"	"2019.0"	"1.0"	"17.0"	"0.0"	"9.0"	"27.0"	"2014.0"	"1.8888888888888888"	"inf"	"0.6538461538461539"	"1.0"	"49025"	"1"	"0"	"0"
"10"	"3D Hand Pose Estimation"	"2017.0"	"1.0"	"4.0"	"0.0"	"0.0"	"5.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	"23430"	"1"	"0"	"0"
"11"	"3D Hand Pose Estimation"	"2020.0"	"1.0"	"1.0"	"0.0"	"0.0"	"2.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	"63637"	"1"	"0"	"0"
"12"	"3D Human Pose Estimation"	"2014.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"9766"	"1"	"0"	"0"
"13"	"3D Human Pose Estimation"	"2016.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"17276"	"1"	"0"	"0"
"14"	"3D Human Pose Estimation"	"2017.0"	"3.0"	"5.0"	"0.0"	"0.0"	"8.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	"23430"	"1"	"0"	"0"
"15"	"3D Human Pose Estimation"	"2019.0"	"1.0"	"19.0"	"0.0"	"0.0"	"20.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"16"	"3D Human Pose Estimation"	"2021.0"	"1.0"	"24.0"	"0.0"	"3.0"	"28.0"	"2010.0"	"8.0"	"inf"	"0.8888888888888888"	"1.0"	"37713"	"1"	"0"	"0"
"17"	"3D Object Classification"	"2017.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2016.0"	""	"inf"	""	"1.0"	"23430"	"1"	"0"	"0"
"18"	"3D Object Detection"	"2012.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2012.0"	""	"inf"	""	"1.0"	"4735"	"1"	"0"	"0"
"19"	"3D Object Detection"	"2014.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"9766"	"1"	"0"	"0"
"20"	"3D Object Detection"	"2019.0"	"1.0"	"50.0"	"0.0"	"62.0"	"113.0"	"2012.0"	"0.8064516129032258"	"inf"	"0.44642857142857145"	"1.0"	"49025"	"1"	"0"	"0"
"21"	"3D Reconstruction"	"2018.0"	"2.0"	"26.0"	"9.0"	"5.0"	"33.0"	"2008.0"	"5.2"	"0.2222222222222222"	"0.8387096774193549"	"0.18181818181818182"	"36754"	"1"	"0"	"0"
"22"	"3D Reconstruction"	"2019.0"	"1.0"	"38.0"	"0.0"	"8.0"	"47.0"	"2008.0"	"4.75"	"inf"	"0.8260869565217391"	"1.0"	"49025"	"1"	"0"	"0"
"23"	"3D Scene Reconstruction"	"2017.0"	"1.0"	"7.0"	"3.0"	"0.0"	"8.0"	"2008.0"	"inf"	"0.3333333333333333"	"1.0"	"0.25"	"23430"	"1"	"0"	"0"
"24"	"3D Semantic Segmentation"	"2019.0"	"1.0"	"16.0"	"0.0"	"0.0"	"17.0"	"2016.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"25"	"3D Semantic Segmentation"	"2021.0"	"1.0"	"16.0"	"0.0"	"0.0"	"17.0"	"2016.0"	"inf"	"inf"	"1.0"	"1.0"	"37713"	"1"	"0"	"0"
"26"	"3D Shape Reconstruction"	"2018.0"	"1.0"	"0.0"	"0.0"	"2.0"	"3.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"1"	"0"	"0"
"27"	"6D Pose Estimation"	"2017.0"	"1.0"	"4.0"	"1.0"	"0.0"	"5.0"	"2015.0"	"inf"	"1.0"	"1.0"	"0.5"	"23430"	"1"	"0"	"0"
"28"	"6D Pose Estimation"	"2018.0"	"1.0"	"5.0"	"4.0"	"0.0"	"6.0"	"2015.0"	"inf"	"0.25"	"1.0"	"0.2"	"36754"	"1"	"0"	"0"
"29"	"6D Pose Estimation"	"2019.0"	"2.0"	"25.0"	"0.0"	"0.0"	"27.0"	"2015.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"30"	"Abnormal Event Detection In Video"	"2018.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2016.0"	""	"inf"	""	"1.0"	"36754"	"1"	"0"	"1"
"31"	"Abnormal Event Detection In Video"	"2021.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2016.0"	"0.0"	"inf"	"0.0"	"1.0"	"37713"	"1"	"0"	"1"
"32"	"Abstractive Text Summarization"	"2016.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"17276"	"0"	"1"	"0"
"33"	"Abstractive Text Summarization"	"2018.0"	"1.0"	"4.0"	"5.0"	"0.0"	"5.0"	"2012.0"	"inf"	"0.2"	"1.0"	"0.16666666666666666"	"36754"	"0"	"1"	"0"
"34"	"Action Classification"	"2012.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"4735"	"1"	"0"	"0"
"35"	"Action Classification"	"2017.0"	"1.0"	"63.0"	"22.0"	"15.0"	"79.0"	"2009.0"	"4.2"	"0.045454545454545456"	"0.8076923076923077"	"0.043478260869565216"	"23430"	"1"	"0"	"0"
"36"	"Action Classification"	"2018.0"	"1.0"	"52.0"	"1.0"	"19.0"	"72.0"	"2009.0"	"2.736842105263158"	"1.0"	"0.7323943661971831"	"0.5"	"36754"	"1"	"0"	"0"
"37"	"Action Classification"	"2019.0"	"2.0"	"85.0"	"0.0"	"27.0"	"114.0"	"2009.0"	"3.1481481481481484"	"inf"	"0.7589285714285714"	"1.0"	"49025"	"1"	"0"	"0"
"38"	"Action Detection"	"2012.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4735"	"1"	"0"	"0"
"39"	"Action Detection"	"2015.0"	"1.0"	"0.0"	"0.0"	"2.0"	"3.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"12115"	"1"	"0"	"0"
"40"	"Action Detection"	"2020.0"	"1.0"	"16.0"	"0.0"	"29.0"	"46.0"	"2012.0"	"0.5517241379310345"	"inf"	"0.35555555555555557"	"1.0"	"63637"	"1"	"0"	"0"
"41"	"Action Generation"	"2020.0"	"1.0"	"3.0"	"0.0"	"0.0"	"4.0"	"2017.0"	"inf"	"inf"	"1.0"	"1.0"	"63637"	"1"	"1"	"0"
"42"	"Action Recognition"	"2004.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2004.0"	""	"inf"	""	"1.0"	"12"	"1"	"0"	"0"
"43"	"Action Recognition"	"2011.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2004.0"	""	"inf"	""	"1.0"	"359"	"1"	"0"	"0"
"44"	"Action Recognition"	"2012.0"	"2.0"	"0.0"	"0.0"	"2.0"	"4.0"	"2004.0"	"0.0"	"inf"	"0.0"	"1.0"	"4735"	"1"	"0"	"0"
"45"	"Action Recognition"	"2013.0"	"1.0"	"0.0"	"0.0"	"5.0"	"6.0"	"2004.0"	"0.0"	"inf"	"0.0"	"1.0"	"6822"	"1"	"0"	"0"
"46"	"Action Recognition"	"2014.0"	"1.0"	"1.0"	"0.0"	"16.0"	"18.0"	"2004.0"	"0.0625"	"inf"	"0.058823529411764705"	"1.0"	"9766"	"1"	"0"	"0"
"47"	"Action Recognition"	"2015.0"	"1.0"	"3.0"	"2.0"	"48.0"	"52.0"	"2004.0"	"0.0625"	"0.5"	"0.058823529411764705"	"0.3333333333333333"	"12115"	"1"	"0"	"0"
"48"	"Action Recognition"	"2016.0"	"3.0"	"7.0"	"4.0"	"48.0"	"58.0"	"2004.0"	"0.14583333333333334"	"0.75"	"0.12727272727272726"	"0.42857142857142855"	"17276"	"1"	"0"	"0"
"49"	"Action Recognition"	"2017.0"	"3.0"	"19.0"	"16.0"	"67.0"	"89.0"	"2004.0"	"0.2835820895522388"	"0.1875"	"0.22093023255813954"	"0.15789473684210525"	"23430"	"1"	"0"	"0"
"50"	"Action Recognition"	"2018.0"	"2.0"	"52.0"	"0.0"	"61.0"	"115.0"	"2004.0"	"0.8524590163934426"	"inf"	"0.46017699115044247"	"1.0"	"36754"	"1"	"0"	"0"
"51"	"Action Recognition"	"2020.0"	"3.0"	"134.0"	"0.0"	"161.0"	"298.0"	"2004.0"	"0.8322981366459627"	"inf"	"0.4542372881355932"	"1.0"	"63637"	"1"	"0"	"0"
"52"	"Action Recognition"	"2021.0"	"1.0"	"64.0"	"0.0"	"90.0"	"155.0"	"2004.0"	"0.7111111111111111"	"inf"	"0.4155844155844156"	"1.0"	"37713"	"1"	"0"	"0"
"53"	"Action Segmentation"	"2015.0"	"1.0"	"3.0"	"0.0"	"0.0"	"4.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	"12115"	"1"	"0"	"0"
"54"	"Active Learning"	"2016.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"1994.0"	""	"inf"	""	"1.0"	"17276"	"1"	"1"	"1"
"55"	"Activity Recognition"	"2013.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2007.0"	""	"inf"	""	"1.0"	"6822"	"1"	"0"	"0"
"56"	"Anomaly Detection"	"2008.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	"202"	"1"	"0"	"1"
"57"	"Anomaly Detection"	"2010.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	"353"	"1"	"0"	"1"
"58"	"Anomaly Detection"	"2015.0"	"1.0"	"0.0"	"0.0"	"5.0"	"6.0"	"2008.0"	"0.0"	"inf"	"0.0"	"1.0"	"12115"	"1"	"0"	"1"
"59"	"Anomaly Detection"	"2018.0"	"1.0"	"50.0"	"0.0"	"17.0"	"68.0"	"2008.0"	"2.9411764705882355"	"inf"	"0.746268656716418"	"1.0"	"36754"	"1"	"0"	"1"
"60"	"Anomaly Detection"	"2019.0"	"1.0"	"77.0"	"0.0"	"15.0"	"93.0"	"2008.0"	"5.133333333333334"	"inf"	"0.8369565217391305"	"1.0"	"49025"	"1"	"0"	"1"
"61"	"Anomaly Detection"	"2021.0"	"1.0"	"115.0"	"0.0"	"28.0"	"144.0"	"2008.0"	"4.107142857142857"	"inf"	"0.8041958041958042"	"1.0"	"37713"	"1"	"0"	"1"
"62"	"Aspect-Based Sentiment Analysis"	"2014.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"9766"	"0"	"1"	"0"
"63"	"Aspect-Based Sentiment Analysis"	"2019.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"49025"	"0"	"1"	"0"
"64"	"Atari Games"	"2012.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4735"	"0"	"0"	"0"
"65"	"Atari Games"	"2019.0"	"1.0"	"0.0"	"0.0"	"21.0"	"22.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"0"	"0"	"0"
"66"	"Atari Games"	"2020.0"	"1.0"	"1.0"	"0.0"	"22.0"	"24.0"	"2012.0"	"0.045454545454545456"	"inf"	"0.043478260869565216"	"1.0"	"63637"	"0"	"0"	"0"
"67"	"Audio Classification"	"2017.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"23430"	"0"	"0"	"0"
"68"	"Autonomous Driving"	"2017.0"	"1.0"	"4.0"	"0.0"	"0.0"	"5.0"	"2009.0"	"inf"	"inf"	"1.0"	"1.0"	"23430"	"1"	"0"	"0"
"69"	"Autonomous Driving"	"2020.0"	"1.0"	"29.0"	"0.0"	"75.0"	"105.0"	"2009.0"	"0.38666666666666666"	"inf"	"0.27884615384615385"	"1.0"	"63637"	"1"	"0"	"0"
"70"	"Autonomous Vehicles"	"2017.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"23430"	"1"	"0"	"0"
"71"	"Biomedical Information Retrieval"	"2021.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2017.0"	""	"inf"	""	"1.0"	"37713"	"0"	"0"	"0"
