""	"task"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"CV"	"NLP"	"Methodology"
"0"	"2D Human Pose Estimation"	"3.0"	"0.0"	"0.0"	"15.0"	"18.0"	"2010.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"1"	"2D Object Detection"	"4.0"	"153.0"	"9.0"	"9.0"	"166.0"	"2013.0"	"17.0"	"0.4444444444444444"	"0.9444444444444444"	"0.3076923076923077"	"1"	"0"	"0"
"2"	"3D Absolute Human Pose Estimation"	"1.0"	"6.0"	"2.0"	"1.0"	"8.0"	"2016.0"	"6.0"	"0.5"	"0.8571428571428571"	"0.3333333333333333"	"1"	"0"	"0"
"3"	"3D Action Recognition"	"3.0"	"9.0"	"5.0"	"11.0"	"23.0"	"2014.0"	"0.8181818181818182"	"0.6"	"0.45"	"0.375"	"1"	"0"	"0"
"4"	"3D Car Instance Understanding"	"1.0"	"1.0"	"1.0"	"1.0"	"3.0"	"2018.0"	"1.0"	"1.0"	"0.5"	"0.5"	"1"	"0"	"0"
"5"	"3D Depth Estimation"	"1.0"	"14.0"	"4.0"	"0.0"	"15.0"	"2009.0"	"inf"	"0.25"	"1.0"	"0.2"	"1"	"0"	"0"
"6"	"3D Face Reconstruction"	"3.0"	"147.0"	"22.0"	"33.0"	"183.0"	"2014.0"	"4.454545454545454"	"0.13636363636363635"	"0.8166666666666667"	"0.12"	"1"	"0"	"0"
"7"	"3D Facial Landmark Localization"	"1.0"	"6.0"	"1.0"	"0.0"	"7.0"	"2012.0"	"inf"	"1.0"	"1.0"	"0.5"	"1"	"0"	"0"
"8"	"3D Hand Pose Estimation"	"4.0"	"7.0"	"2.0"	"0.0"	"11.0"	"2014.0"	"inf"	"2.0"	"1.0"	"0.6666666666666666"	"1"	"0"	"0"
"9"	"3D Human Pose Estimation"	"12.0"	"101.0"	"5.0"	"4.0"	"117.0"	"2010.0"	"25.25"	"2.4"	"0.9619047619047619"	"0.7058823529411765"	"1"	"0"	"0"
"10"	"3D Object Classification"	"1.0"	"77.0"	"3.0"	"5.0"	"83.0"	"2016.0"	"15.4"	"0.3333333333333333"	"0.9390243902439024"	"0.25"	"1"	"0"	"0"
"11"	"3D Object Detection"	"9.0"	"233.0"	"9.0"	"227.0"	"469.0"	"2012.0"	"1.026431718061674"	"1.0"	"0.5065217391304347"	"0.5"	"1"	"0"	"0"
"12"	"3D Object Modeling"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"13"	"3D Object Tracking"	"2.0"	"0.0"	"0.0"	"2.0"	"4.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"14"	"3D Point Cloud Classification"	"2.0"	"0.0"	"0.0"	"69.0"	"71.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"15"	"3D Point Cloud Matching"	"1.0"	"10.0"	"2.0"	"0.0"	"11.0"	"2010.0"	"inf"	"0.5"	"1.0"	"0.3333333333333333"	"1"	"0"	"0"
"16"	"3D Pose Estimation"	"6.0"	"116.0"	"10.0"	"0.0"	"122.0"	"2013.0"	"inf"	"0.6"	"1.0"	"0.375"	"1"	"0"	"0"
"17"	"3D Reconstruction"	"7.0"	"179.0"	"18.0"	"32.0"	"218.0"	"2008.0"	"5.59375"	"0.3888888888888889"	"0.8483412322274881"	"0.28"	"1"	"0"	"0"
"18"	"3D Scene Reconstruction"	"1.0"	"53.0"	"6.0"	"3.0"	"57.0"	"2008.0"	"17.666666666666668"	"0.16666666666666666"	"0.9464285714285714"	"0.14285714285714285"	"1"	"0"	"0"
"19"	"3D Semantic Segmentation"	"6.0"	"113.0"	"8.0"	"0.0"	"119.0"	"2016.0"	"inf"	"0.75"	"1.0"	"0.42857142857142855"	"1"	"0"	"0"
"20"	"3D Shape Modeling"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"21"	"3D Shape Reconstruction"	"1.0"	"11.0"	"5.0"	"5.0"	"17.0"	"2012.0"	"2.2"	"0.2"	"0.6875"	"0.16666666666666666"	"1"	"0"	"0"
"22"	"3D Shape Representation"	"2.0"	"7.0"	"3.0"	"7.0"	"16.0"	"2012.0"	"1.0"	"0.6666666666666666"	"0.5"	"0.4"	"1"	"0"	"0"
"23"	"6D Pose Estimation"	"5.0"	"171.0"	"4.0"	"0.0"	"176.0"	"2015.0"	"inf"	"1.25"	"1.0"	"0.5555555555555556"	"1"	"0"	"0"
"24"	"6D Pose Estimation using RGB"	"5.0"	"187.0"	"4.0"	"0.0"	"192.0"	"2015.0"	"inf"	"1.25"	"1.0"	"0.5555555555555556"	"1"	"0"	"0"
"25"	"6D Pose Estimation using RGBD"	"1.0"	"20.0"	"2.0"	"0.0"	"21.0"	"2016.0"	"inf"	"0.5"	"1.0"	"0.3333333333333333"	"1"	"0"	"0"
"26"	"Abnormal Event Detection In Video"	"2.0"	"1.0"	"1.0"	"5.0"	"8.0"	"2016.0"	"0.2"	"2.0"	"0.16666666666666666"	"0.6666666666666666"	"1"	"0"	"1"
"27"	"Abstractive Text Summarization"	"8.0"	"36.0"	"11.0"	"8.0"	"52.0"	"2012.0"	"4.5"	"0.7272727272727273"	"0.8181818181818182"	"0.42105263157894735"	"0"	"1"	"0"
"28"	"Abuse Detection"	"1.0"	"0.0"	"0.0"	"8.0"	"9.0"	"2010.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"29"	"Accident Anticipation"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2017.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"30"	"Acoustic Scene Classification"	"2.0"	"0.0"	"0.0"	"4.0"	"6.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"31"	"Action Anticipation"	"1.0"	"2.0"	"1.0"	"1.0"	"4.0"	"2017.0"	"2.0"	"1.0"	"0.6666666666666666"	"0.5"	"1"	"0"	"0"
"32"	"Action Classification"	"12.0"	"368.0"	"18.0"	"138.0"	"518.0"	"2009.0"	"2.6666666666666665"	"0.6666666666666666"	"0.7272727272727273"	"0.4"	"1"	"0"	"0"
"33"	"Action Detection"	"9.0"	"85.0"	"4.0"	"145.0"	"239.0"	"2012.0"	"0.5862068965517241"	"2.25"	"0.3695652173913043"	"0.6923076923076923"	"1"	"0"	"0"
"34"	"Action Generation"	"1.0"	"11.0"	"2.0"	"0.0"	"12.0"	"2017.0"	"inf"	"0.5"	"1.0"	"0.3333333333333333"	"1"	"1"	"0"
"35"	"Action Localization"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"1"	"0"	"0"
"36"	"Action Parsing"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	""	"inf"	""	"1.0"	"0"	"1"	"0"
"37"	"Action Quality Assessment"	"3.0"	"0.0"	"0.0"	"4.0"	"7.0"	"2016.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"38"	"Action Recognition"	"33.0"	"374.0"	"18.0"	"622.0"	"1029.0"	"2004.0"	"0.6012861736334405"	"1.8333333333333333"	"0.3755020080321285"	"0.6470588235294118"	"1"	"0"	"0"
"39"	"Action Segmentation"	"1.0"	"47.0"	"10.0"	"1.0"	"49.0"	"2014.0"	"47.0"	"0.1"	"0.9791666666666666"	"0.09090909090909091"	"1"	"0"	"0"
"40"	"Action Spotting"	"2.0"	"41.0"	"5.0"	"19.0"	"62.0"	"2014.0"	"2.1578947368421053"	"0.4"	"0.6833333333333333"	"0.2857142857142857"	"1"	"0"	"0"
"41"	"Active Learning"	"2.0"	"4.0"	"3.0"	"0.0"	"6.0"	"1994.0"	"inf"	"0.6666666666666666"	"1.0"	"0.4"	"1"	"1"	"1"
"42"	"Activity Detection"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2012.0"	""	"inf"	""	"1.0"	"1"	"0"	"0"
"43"	"Activity Recognition"	"9.0"	"2.0"	"2.0"	"60.0"	"71.0"	"2007.0"	"0.03333333333333333"	"4.5"	"0.03225806451612903"	"0.8181818181818182"	"1"	"0"	"0"
"44"	"Activity Recognition In Videos"	"1.0"	"10.0"	"5.0"	"1.0"	"12.0"	"2015.0"	"10.0"	"0.2"	"0.9090909090909091"	"0.16666666666666666"	"1"	"0"	"0"
