""	"task"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"CV"	"NLP"	"Methodology"
"0"	"2D Human Pose Estimation"	"3.0"	"0.0"	"0.0"	"15.0"	"18.0"	"2010.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"1"	"2D Object Detection"	"4.0"	"129.0"	"9.0"	"9.0"	"142.0"	"2013.0"	"14.333333333333334"	"0.4444444444444444"	"0.9347826086956522"	"0.3076923076923077"	"1"	"0"	"0"
"2"	"3D Absolute Human Pose Estimation"	"1.0"	"2.0"	"1.0"	"1.0"	"4.0"	"2016.0"	"2.0"	"1.0"	"0.6666666666666666"	"0.5"	"1"	"0"	"0"
"3"	"3D Action Recognition"	"3.0"	"9.0"	"5.0"	"11.0"	"23.0"	"2014.0"	"0.8181818181818182"	"0.6"	"0.45"	"0.375"	"1"	"0"	"0"
"4"	"3D Car Instance Understanding"	"1.0"	"1.0"	"1.0"	"1.0"	"3.0"	"2018.0"	"1.0"	"1.0"	"0.5"	"0.5"	"1"	"0"	"0"
"5"	"3D Depth Estimation"	"1.0"	"12.0"	"4.0"	"0.0"	"13.0"	"2009.0"	"inf"	"0.25"	"1.0"	"0.2"	"1"	"0"	"0"
"6"	"3D Face Reconstruction"	"3.0"	"109.0"	"20.0"	"33.0"	"145.0"	"2014.0"	"3.303030303030303"	"0.15"	"0.7676056338028169"	"0.13043478260869565"	"1"	"0"	"0"
"7"	"3D Hand Pose Estimation"	"4.0"	"7.0"	"2.0"	"0.0"	"11.0"	"2014.0"	"inf"	"2.0"	"1.0"	"0.6666666666666666"	"1"	"0"	"0"
"8"	"3D Human Pose Estimation"	"12.0"	"100.0"	"5.0"	"4.0"	"116.0"	"2010.0"	"25.0"	"2.4"	"0.9615384615384616"	"0.7058823529411765"	"1"	"0"	"0"
"9"	"3D Object Classification"	"1.0"	"2.0"	"2.0"	"5.0"	"8.0"	"2016.0"	"0.4"	"0.5"	"0.2857142857142857"	"0.3333333333333333"	"1"	"0"	"0"
"10"	"3D Object Detection"	"9.0"	"223.0"	"9.0"	"227.0"	"459.0"	"2012.0"	"0.9823788546255506"	"1.0"	"0.4955555555555556"	"0.5"	"1"	"0"	"0"
"11"	"3D Reconstruction"	"7.0"	"138.0"	"17.0"	"32.0"	"177.0"	"2008.0"	"4.3125"	"0.4117647058823529"	"0.8117647058823529"	"0.2916666666666667"	"1"	"0"	"0"
"12"	"3D Scene Reconstruction"	"1.0"	"52.0"	"6.0"	"3.0"	"56.0"	"2008.0"	"17.333333333333332"	"0.16666666666666666"	"0.9454545454545454"	"0.14285714285714285"	"1"	"0"	"0"
"13"	"3D Semantic Segmentation"	"6.0"	"91.0"	"7.0"	"0.0"	"97.0"	"2016.0"	"inf"	"0.8571428571428571"	"1.0"	"0.46153846153846156"	"1"	"0"	"0"
"14"	"3D Shape Reconstruction"	"1.0"	"6.0"	"4.0"	"5.0"	"12.0"	"2012.0"	"1.2"	"0.25"	"0.5454545454545454"	"0.2"	"1"	"0"	"0"
"15"	"6D Pose Estimation"	"5.0"	"72.0"	"4.0"	"0.0"	"77.0"	"2015.0"	"inf"	"1.25"	"1.0"	"0.5555555555555556"	"1"	"0"	"0"
"16"	"Abnormal Event Detection In Video"	"2.0"	"1.0"	"1.0"	"5.0"	"8.0"	"2016.0"	"0.2"	"2.0"	"0.16666666666666666"	"0.6666666666666666"	"1"	"0"	"1"
"17"	"Abstractive Text Summarization"	"8.0"	"14.0"	"6.0"	"8.0"	"30.0"	"2012.0"	"1.75"	"1.3333333333333333"	"0.6363636363636364"	"0.5714285714285714"	"0"	"1"	"0"
"18"	"Abuse Detection"	"1.0"	"0.0"	"0.0"	"8.0"	"9.0"	"2010.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"19"	"Action Classification"	"12.0"	"339.0"	"17.0"	"138.0"	"489.0"	"2009.0"	"2.4565217391304346"	"0.7058823529411765"	"0.710691823899371"	"0.41379310344827586"	"1"	"0"	"0"
"20"	"Action Detection"	"9.0"	"85.0"	"4.0"	"145.0"	"239.0"	"2012.0"	"0.5862068965517241"	"2.25"	"0.3695652173913043"	"0.6923076923076923"	"1"	"0"	"0"
"21"	"Action Generation"	"1.0"	"8.0"	"2.0"	"0.0"	"9.0"	"2017.0"	"inf"	"0.5"	"1.0"	"0.3333333333333333"	"1"	"1"	"0"
"22"	"Action Localization"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"1"	"0"	"0"
"23"	"Action Recognition"	"33.0"	"370.0"	"17.0"	"622.0"	"1025.0"	"2004.0"	"0.594855305466238"	"1.9411764705882353"	"0.37298387096774194"	"0.66"	"1"	"0"	"0"
"24"	"Action Segmentation"	"1.0"	"45.0"	"10.0"	"1.0"	"47.0"	"2014.0"	"45.0"	"0.1"	"0.9782608695652174"	"0.09090909090909091"	"1"	"0"	"0"
"25"	"Active Learning"	"2.0"	"3.0"	"2.0"	"0.0"	"5.0"	"1994.0"	"inf"	"1.0"	"1.0"	"0.5"	"1"	"1"	"1"
"26"	"Activity Recognition"	"9.0"	"2.0"	"2.0"	"60.0"	"71.0"	"2007.0"	"0.03333333333333333"	"4.5"	"0.03225806451612903"	"0.8181818181818182"	"1"	"0"	"0"
"27"	"Activity Recognition In Videos"	"1.0"	"9.0"	"5.0"	"1.0"	"11.0"	"2015.0"	"9.0"	"0.2"	"0.9"	"0.16666666666666666"	"1"	"0"	"0"
"28"	"Anomaly Detection"	"10.0"	"428.0"	"6.0"	"133.0"	"571.0"	"2008.0"	"3.218045112781955"	"1.6666666666666667"	"0.7629233511586453"	"0.625"	"1"	"0"	"1"
