""	"task"	"year"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_homegrown"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"pwc_size"	"CV"	"NLP"	"Methodology"
"0"	"2D Human Pose Estimation"	"2010.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"353"	"1"	"0"	"0"
"1"	"2D Human Pose Estimation"	"2021.0"	"2.0"	"0.0"	"1.0"	"0.0"	"0.0"	"2.0"	"2010.0"	""	"inf"	""	"1.0"	"37713"	"1"	"0"	"0"
"2"	"2D Object Detection"	"2018.0"	"1.0"	"14.0"	"3.0"	"21.0"	"0.0"	"15.0"	"2013.0"	"inf"	"0.047619047619047616"	"1.0"	"0.045454545454545456"	"36754"	"1"	"0"	"0"
"3"	"2D Object Detection"	"2020.0"	"1.0"	"71.0"	"4.0"	"0.0"	"3.0"	"75.0"	"2013.0"	"23.666666666666668"	"inf"	"0.9594594594594594"	"1.0"	"63637"	"1"	"0"	"0"
"5"	"3D Action Recognition"	"2014.0"	"1.0"	"1.0"	"6.0"	"0.0"	"2.0"	"4.0"	"2014.0"	"0.5"	"inf"	"0.3333333333333333"	"1.0"	"9766"	"1"	"0"	"0"
"6"	"3D Action Recognition"	"2016.0"	"1.0"	"1.0"	"7.0"	"0.0"	"1.0"	"3.0"	"2014.0"	"1.0"	"inf"	"0.5"	"1.0"	"17276"	"1"	"0"	"0"
"7"	"3D Depth Estimation"	"2009.0"	"1.0"	"0.0"	"8.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"254"	"1"	"0"	"0"
"8"	"3D Face Reconstruction"	"2016.0"	"1.0"	"8.0"	"9.0"	"0.0"	"1.0"	"10.0"	"2014.0"	"8.0"	"inf"	"0.8888888888888888"	"1.0"	"17276"	"1"	"0"	"0"
"9"	"3D Face Reconstruction"	"2019.0"	"1.0"	"22.0"	"10.0"	"0.0"	"9.0"	"32.0"	"2014.0"	"2.4444444444444446"	"inf"	"0.7096774193548387"	"1.0"	"49025"	"1"	"0"	"0"
"10"	"3D Facial Landmark Localization"	"2012.0"	"1.0"	"0.0"	"11.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4735"	"1"	"0"	"0"
