""	"task"	"year"	"gini"	"pielou"	"simpson"	"task_size"	"task_age"	"pwc_size"	"CV"	"NLP"	"Methodology"
"0"	"2D Human Pose Estimation"	"2013"	""	""	"1.0"	"4"	""	""	"1"	"0"	"0"
"1"	"2D Human Pose Estimation"	"2014"	""	""	"1.0"	"5"	""	""	"1"	"0"	"0"
"2"	"2D Human Pose Estimation"	"2015"	""	""	"1.0"	"7"	"2010.0"	"12115.0"	"1"	"0"	"0"
"3"	"2D Human Pose Estimation"	"2016"	"0.8888888888888888"	"0.3095434291503252"	"0.5586206896551724"	"18"	"2010.0"	"17276.0"	"1"	"0"	"0"
"4"	"2D Human Pose Estimation"	"2017"	""	""	"1.0"	"16"	"2010.0"	"23430.0"	"1"	"0"	"0"
"5"	"2D Human Pose Estimation"	"2018"	"0.8571428571428571"	"0.3712323266408757"	"0.5764705882352942"	"14"	"2010.0"	"36754.0"	"1"	"0"	"0"
"6"	"2D Human Pose Estimation"	"2019"	"0.8888888888888888"	"0.3095434291503252"	"0.5586206896551724"	"18"	"2010.0"	"49025.0"	"1"	"0"	"0"
"7"	"2D Human Pose Estimation"	"2020"	"0.9130434782608695"	"0.2580186686648155"	"0.545360824742268"	"23"	"2010.0"	"63637.0"	"1"	"0"	"0"
"8"	"2D Human Pose Estimation"	"2021"	"0.7272727272727273"	"0.5462947022805018"	"0.4859437751004016"	"11"	"2010.0"	"37713.0"	"1"	"0"	"0"
"9"	"2D Object Detection"	"2011"	""	""	"1.0"	"1"	""	""	"1"	"0"	"0"
"10"	"2D Object Detection"	"2012"	""	""	"1.0"	"1"	""	""	"1"	"0"	"0"
"11"	"2D Object Detection"	"2014"	"0.6666666666666666"	"0.6500224216483541"	"0.6923076923076922"	"6"	""	""	"1"	"0"	"0"
"12"	"2D Object Detection"	"2015"	"0.7419354838709676"	"0.5777597670575704"	"0.4490654205607475"	"31"	""	""	"1"	"0"	"0"
"13"	"2D Object Detection"	"2016"	"0.7824074074074074"	"0.5122868902533821"	"0.21513944223107567"	"54"	"2013.0"	"17276.0"	"1"	"0"	"0"
"14"	"2D Object Detection"	"2017"	"0.8160000000000001"	"0.4618836440362578"	"0.26743688489516476"	"50"	"2013.0"	"23430.0"	"1"	"0"	"0"
"15"	"2D Object Detection"	"2018"	"0.8190476190476191"	"0.4812915239031314"	"0.15644289302285982"	"105"	"2013.0"	"36754.0"	"1"	"0"	"0"
"16"	"2D Object Detection"	"2019"	"0.8250000000000002"	"0.49611848369583805"	"0.1440456242467002"	"140"	"2013.0"	"49025.0"	"1"	"0"	"0"
"17"	"2D Object Detection"	"2020"	"0.7693194925028836"	"0.6175665533776344"	"0.19955500997391434"	"153"	"2013.0"	"63637.0"	"1"	"0"	"0"
"18"	"2D Object Detection"	"2021"	"0.6739130434782609"	"0.689006177358958"	"0.2632859591881878"	"69"	"2013.0"	"37713.0"	"1"	"0"	"0"
"19"	"3D Absolute Human Pose Estimation"	"2019"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"2016.0"	"49025.0"	"1"	"0"	"0"
"20"	"3D Absolute Human Pose Estimation"	"2020"	"0.2727272727272727"	"0.948769510358905"	"0.8231292517006803"	"11"	"2016.0"	"63637.0"	"1"	"0"	"0"
"21"	"3D Action Recognition"	"2012"	"0.0"	"0.9999999999999999"	"1.0"	"3"	""	""	"1"	"0"	"0"
"22"	"3D Action Recognition"	"2014"	"0.2"	"0.967132018086354"	"0.8888888888888888"	"8"	"2014.0"	"9766.0"	"1"	"0"	"0"
"23"	"3D Action Recognition"	"2015"	"0.0"	"1.0"	"1.0"	"2"	""	""	"1"	"0"	"0"
"24"	"3D Action Recognition"	"2016"	"0.34920634920634924"	"0.9248006397629237"	"0.7499999999999999"	"18"	"2014.0"	"17276.0"	"1"	"0"	"0"
"25"	"3D Action Recognition"	"2017"	"0.6072351421188631"	"0.7340746717836946"	"0.3367941712204007"	"43"	"2014.0"	"23430.0"	"1"	"0"	"0"
"26"	"3D Action Recognition"	"2018"	"0.5691609977324261"	"0.7615583807559372"	"0.36323751891074124"	"49"	"2014.0"	"36754.0"	"1"	"0"	"0"
"27"	"3D Action Recognition"	"2019"	"0.6786324786324786"	"0.7027989543948837"	"0.346027846027846"	"65"	"2014.0"	"49025.0"	"1"	"0"	"0"
"28"	"3D Action Recognition"	"2020"	"0.6857142857142857"	"0.697069976219707"	"0.27357320099255583"	"84"	"2014.0"	"63637.0"	"1"	"0"	"0"
"29"	"3D Action Recognition"	"2021"	"0.5454545454545454"	"0.7639781291422639"	"0.40740740740740755"	"22"	""	""	"1"	"0"	"0"
"30"	"3D Car Instance Understanding"	"2018"	""	""	"1.0"	"1"	""	""	"1"	"0"	"0"
"31"	"3D Car Instance Understanding"	"2019"	"0.0"	"1.0"	"1.0"	"2"	"2018.0"	"49025.0"	"1"	"0"	"0"
"32"	"3D Car Instance Understanding"	"2020"	""	""	"1.0"	"1"	"2018.0"	"63637.0"	"1"	"0"	"0"
"33"	"3D Depth Estimation"	"2019"	"0.19999999999999998"	"0.9609640474436812"	"0.8928571428571428"	"5"	"2009.0"	"49025.0"	"1"	"0"	"0"
"34"	"3D Depth Estimation"	"2020"	""	""	"1.0"	"1"	"2009.0"	"63637.0"	"1"	"0"	"0"
