""	"task"	"gini"	"pielou"	"simpson"	"task_size"	"CV"	"NLP"	"Methodology"
"0"	"2D Human Pose Estimation"	"0.9310344827586208"	"0.21525706133631828"	"0.37007700770077007"	"116"	"1"	"0"	"0"
"1"	"2D Object Detection"	"0.8861826697892273"	"0.4367089595522856"	"0.07008958507568396"	"610"	"1"	"0"	"0"
"2"	"3D Absolute Human Pose Estimation"	"0.2857142857142857"	"0.942379352772432"	"0.8235294117647058"	"14"	"1"	"0"	"0"
"3"	"3D Action Recognition"	"0.7749869178440607"	"0.6328358533831167"	"0.16106527134903068"	"294"	"1"	"0"	"0"
"4"	"3D Car Instance Understanding"	"0.25"	"0.9463946303571861"	"0.8888888888888888"	"4"	"1"	"0"	"0"
"5"	"3D Depth Estimation"	"0.2222222222222222"	"0.9591479170272448"	"0.8999999999999999"	"6"	"1"	"0"	"0"
"6"	"3D FACE MODELING"	"0.2605042016806723"	"0.9555290352763198"	"0.8401162790697674"	"17"	"1"	"0"	"0"
"7"	"3D Face Animation"	"0.8474358974358974"	"0.4228045743425884"	"0.13707296499367355"	"130"	"1"	"1"	"0"
"8"	"3D Face Reconstruction"	"0.5845875978326309"	"0.8342103795772025"	"0.37653994781517314"	"151"	"1"	"0"	"0"
"9"	"3D Hand Pose Estimation"	"0.544776119402985"	"0.8285857851575031"	"0.4911915964547544"	"67"	"1"	"0"	"0"
"10"	"3D Human Pose Estimation"	"0.7508739930080559"	"0.7064063904315276"	"0.1898640236508818"	"612"	"1"	"0"	"0"
"11"	"3D Medical Imaging Segmentation"	"0.21904761904761905"	"0.9552222128375472"	"0.7449324324324325"	"21"	"1"	"0"	"0"
"12"	"3D Multi-Person Pose Estimation"	"0.37815126050420167"	"0.910940001877859"	"0.7372448979591837"	"34"	"1"	"0"	"0"
"13"	"3D Object Classification"	"0.7280701754385965"	"0.6134921930578391"	"0.4189555125725339"	"57"	"1"	"0"	"0"
"14"	"3D Object Detection"	"0.7786740114105843"	"0.6139055067222704"	"0.153843488559621"	"442"	"1"	"0"	"0"
"15"	"3D Object Reconstruction"	""	""	"1.0"	"33"	"1"	"0"	"0"
"16"	"3D Reconstruction"	"0.7206643658326143"	"0.6851680053037681"	"0.14312432988600252"	"244"	"1"	"0"	"0"
"17"	"3D Scene Reconstruction"	"0.5332409972299169"	"0.849489745778734"	"0.475"	"76"	"1"	"0"	"0"
"18"	"3D Semantic Segmentation"	"0.6509523809523811"	"0.7753249463106321"	"0.3252062497119418"	"168"	"1"	"0"	"0"
"19"	"3D Shape Generation"	"0.690909090909091"	"0.6110383905522615"	"0.33893557422969195"	"22"	"1"	"0"	"0"
"20"	"3D Shape Reconstruction"	"0.7560975609756098"	"0.5491375558325332"	"0.25346803377563326"	"41"	"1"	"0"	"0"
"21"	"3D Shape Reconstruction From A Single 2D Image"	""	""	"1.0"	"1"	"1"	"0"	"0"
"22"	"6D Pose Estimation"	"0.7364470391993329"	"0.6525984030326848"	"0.2956355130884841"	"109"	"1"	"0"	"0"
"23"	"Abnormal Event Detection In Video"	"0.5073891625615764"	"0.8420206431409113"	"0.5808011049723756"	"29"	"1"	"0"	"1"
"24"	"Abstractive Text Summarization"	"0.7089468873768661"	"0.6703533670469453"	"0.11177350737043136"	"229"	"0"	"1"	"0"
"25"	"Abuse Detection"	"0.7692307692307692"	"0.48785277138929134"	"0.4579945799457994"	"13"	"0"	"1"	"0"
"26"	"Action Classification"	"0.7442084942084942"	"0.6990668670681559"	"0.1864211566612423"	"448"	"1"	"0"	"0"
