""	"task"	"year"	"gini"	"pielou"	"simpson"	"task_size"	"task_age"	"pwc_size"	"CV"	"NLP"	"Methodology"
"0"	"2D Human Pose Estimation"	"2013"	""	""	"1.0"	"4"	"2010.0"	"6822"	"1"	"0"	"0"
"1"	"2D Human Pose Estimation"	"2014"	""	""	"1.0"	"5"	"2010.0"	"9766"	"1"	"0"	"0"
"2"	"2D Human Pose Estimation"	"2015"	""	""	"1.0"	"7"	"2010.0"	"12115"	"1"	"0"	"0"
"3"	"2D Human Pose Estimation"	"2016"	"0.8888888888888888"	"0.3095434291503252"	"0.5586206896551724"	"18"	"2010.0"	"17276"	"1"	"0"	"0"
"4"	"2D Human Pose Estimation"	"2017"	""	""	"1.0"	"16"	"2010.0"	"23430"	"1"	"0"	"0"
"5"	"2D Human Pose Estimation"	"2018"	"0.8571428571428571"	"0.3712323266408757"	"0.5764705882352942"	"14"	"2010.0"	"36754"	"1"	"0"	"0"
"6"	"2D Human Pose Estimation"	"2019"	"0.8888888888888888"	"0.3095434291503252"	"0.5586206896551724"	"18"	"2010.0"	"49025"	"1"	"0"	"0"
"7"	"2D Human Pose Estimation"	"2020"	"0.9130434782608695"	"0.2580186686648155"	"0.545360824742268"	"23"	"2010.0"	"63637"	"1"	"0"	"0"
"8"	"2D Human Pose Estimation"	"2021"	"0.7272727272727273"	"0.5462947022805018"	"0.4859437751004016"	"11"	"2010.0"	"37713"	"1"	"0"	"0"
"9"	"2D Object Detection"	"2011"	""	""	"1.0"	"1"	"2013.0"	"359"	"1"	"0"	"0"
"10"	"2D Object Detection"	"2012"	""	""	"1.0"	"1"	"2013.0"	"4735"	"1"	"0"	"0"
"11"	"2D Object Detection"	"2014"	"0.6666666666666666"	"0.6500224216483541"	"0.6923076923076922"	"6"	"2013.0"	"9766"	"1"	"0"	"0"
"12"	"2D Object Detection"	"2015"	"0.7419354838709676"	"0.5777597670575704"	"0.4490654205607475"	"31"	"2013.0"	"12115"	"1"	"0"	"0"
"13"	"2D Object Detection"	"2016"	"0.7824074074074074"	"0.5122868902533821"	"0.21513944223107567"	"54"	"2013.0"	"17276"	"1"	"0"	"0"
"14"	"2D Object Detection"	"2017"	"0.8160000000000001"	"0.4618836440362578"	"0.26743688489516476"	"50"	"2013.0"	"23430"	"1"	"0"	"0"
"15"	"2D Object Detection"	"2018"	"0.8190476190476191"	"0.4812915239031314"	"0.15644289302285982"	"105"	"2013.0"	"36754"	"1"	"0"	"0"
"16"	"2D Object Detection"	"2019"	"0.8250000000000002"	"0.49611848369583805"	"0.1440456242467002"	"140"	"2013.0"	"49025"	"1"	"0"	"0"
"17"	"2D Object Detection"	"2020"	"0.7693194925028836"	"0.6175665533776344"	"0.19955500997391434"	"153"	"2013.0"	"63637"	"1"	"0"	"0"
"18"	"2D Object Detection"	"2021"	"0.6739130434782609"	"0.689006177358958"	"0.2632859591881878"	"69"	"2013.0"	"37713"	"1"	"0"	"0"
"19"	"3D Absolute Human Pose Estimation"	"2019"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"2016.0"	"49025"	"1"	"0"	"0"
"20"	"3D Absolute Human Pose Estimation"	"2020"	"0.2727272727272727"	"0.948769510358905"	"0.8231292517006803"	"11"	"2016.0"	"63637"	"1"	"0"	"0"
"21"	"3D Action Recognition"	"2012"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"2014.0"	"4735"	"1"	"0"	"0"
"22"	"3D Action Recognition"	"2014"	"0.2"	"0.967132018086354"	"0.8888888888888888"	"8"	"2014.0"	"9766"	"1"	"0"	"0"
"23"	"3D Action Recognition"	"2015"	"0.0"	"1.0"	"1.0"	"2"	"2014.0"	"12115"	"1"	"0"	"0"
"24"	"3D Action Recognition"	"2016"	"0.34920634920634924"	"0.9248006397629237"	"0.7499999999999999"	"18"	"2014.0"	"17276"	"1"	"0"	"0"
"25"	"3D Action Recognition"	"2017"	"0.6072351421188631"	"0.7340746717836946"	"0.3367941712204007"	"43"	"2014.0"	"23430"	"1"	"0"	"0"
"26"	"3D Action Recognition"	"2018"	"0.5691609977324261"	"0.7615583807559372"	"0.36323751891074124"	"49"	"2014.0"	"36754"	"1"	"0"	"0"
"27"	"3D Action Recognition"	"2019"	"0.6786324786324786"	"0.7027989543948837"	"0.346027846027846"	"65"	"2014.0"	"49025"	"1"	"0"	"0"
"28"	"3D Action Recognition"	"2020"	"0.6857142857142857"	"0.697069976219707"	"0.27357320099255583"	"84"	"2014.0"	"63637"	"1"	"0"	"0"
"29"	"3D Action Recognition"	"2021"	"0.5454545454545454"	"0.7639781291422639"	"0.40740740740740755"	"22"	"2014.0"	"37713"	"1"	"0"	"0"
"30"	"3D Car Instance Understanding"	"2018"	""	""	"1.0"	"1"	"2018.0"	"36754"	"1"	"0"	"0"
"31"	"3D Car Instance Understanding"	"2019"	"0.0"	"1.0"	"1.0"	"2"	"2018.0"	"49025"	"1"	"0"	"0"
"32"	"3D Car Instance Understanding"	"2020"	""	""	"1.0"	"1"	"2018.0"	"63637"	"1"	"0"	"0"
"33"	"3D Depth Estimation"	"2019"	"0.19999999999999998"	"0.9609640474436812"	"0.8928571428571428"	"5"	"2009.0"	"49025"	"1"	"0"	"0"
"34"	"3D Depth Estimation"	"2020"	""	""	"1.0"	"1"	"2009.0"	"63637"	"1"	"0"	"0"
"35"	"3D FACE MODELING"	"2014"	""	""	"1.0"	"2"	"2014.0"	"9766"	"1"	"0"	"0"
"36"	"3D FACE MODELING"	"2017"	""	""	"1.0"	"1"	"2014.0"	"23430"	"1"	"0"	"0"
"37"	"3D FACE MODELING"	"2018"	""	""	"1.0"	"1"	"2014.0"	"36754"	"1"	"0"	"0"
"38"	"3D FACE MODELING"	"2019"	""	""	"1.0"	"1"	"2014.0"	"49025"	"1"	"0"	"0"
"39"	"3D FACE MODELING"	"2020"	"0.2"	"0.967132018086354"	"0.8888888888888888"	"8"	"2014.0"	"63637"	"1"	"0"	"0"
"40"	"3D FACE MODELING"	"2021"	"0.25"	"0.9463946303571861"	"0.8888888888888888"	"4"	"2014.0"	"37713"	"1"	"0"	"0"
"41"	"3D Face Animation"	"2015"	"0.3333333333333333"	"0.9182958340544894"	"0.8999999999999999"	"3"	"2014.0"	"12115"	"1"	"1"	"0"
"42"	"3D Face Animation"	"2016"	"0.4"	"0.8649735207179273"	"0.7575757575757575"	"5"	"2014.0"	"17276"	"1"	"1"	"0"
"43"	"3D Face Animation"	"2017"	"0.49999999999999994"	"0.8043461359047004"	"0.5627906976744187"	"11"	"2014.0"	"23430"	"1"	"1"	"0"
"44"	"3D Face Animation"	"2018"	"0.8"	"0.44155167050817345"	"0.43859649122807015"	"15"	"2014.0"	"36754"	"1"	"1"	"0"
"45"	"3D Face Animation"	"2019"	"0.7740863787375415"	"0.5152804816242746"	"0.24201570680628268"	"43"	"2014.0"	"49025"	"1"	"1"	"0"
"46"	"3D Face Animation"	"2020"	"0.8571428571428572"	"0.33052737630794277"	"0.3121019108280254"	"28"	"2014.0"	"63637"	"1"	"1"	"0"
"47"	"3D Face Animation"	"2021"	"0.7066666666666667"	"0.6219952287757082"	"0.4778287461773699"	"25"	"2014.0"	"37713"	"1"	"1"	"0"
"48"	"3D Face Reconstruction"	"2015"	"0.125"	"0.979569764547061"	"0.9142857142857144"	"8"	"2014.0"	"12115"	"1"	"0"	"0"
"49"	"3D Face Reconstruction"	"2016"	"0.16666666666666666"	"0.9697238998682473"	"0.9"	"6"	"2014.0"	"17276"	"1"	"0"	"0"
"50"	"3D Face Reconstruction"	"2017"	"0.2777777777777778"	"0.9499420132200559"	"0.8"	"16"	"2014.0"	"23430"	"1"	"0"	"0"
"51"	"3D Face Reconstruction"	"2018"	"0.3174603174603175"	"0.941001684744389"	"0.7253731343283586"	"27"	"2014.0"	"36754"	"1"	"0"	"0"
"52"	"3D Face Reconstruction"	"2019"	"0.4389140271493214"	"0.8883700913077301"	"0.5814889336016097"	"34"	"2014.0"	"49025"	"1"	"0"	"0"
"53"	"3D Face Reconstruction"	"2020"	"0.4222222222222222"	"0.8990793817609005"	"0.6054936305732486"	"39"	"2014.0"	"63637"	"1"	"0"	"0"
"54"	"3D Face Reconstruction"	"2021"	"0.21904761904761905"	"0.9552222128375472"	"0.7449324324324327"	"21"	"2014.0"	"37713"	"1"	"0"	"0"
"55"	"3D Hand Pose Estimation"	"2014"	""	""	"1.0"	"1"	"2014.0"	"9766"	"1"	"0"	"0"
"56"	"3D Hand Pose Estimation"	"2017"	"0.4"	"0.8813534532688831"	"0.7142857142857142"	"10"	"2014.0"	"23430"	"1"	"0"	"0"
"57"	"3D Hand Pose Estimation"	"2018"	"0.3333333333333333"	"0.8962406251802891"	"0.75"	"6"	"2014.0"	"36754"	"1"	"0"	"0"
"58"	"3D Hand Pose Estimation"	"2019"	"0.5757575757575758"	"0.7455574250275929"	"0.55"	"11"	"2014.0"	"49025"	"1"	"0"	"0"
"59"	"3D Hand Pose Estimation"	"2020"	"0.5446428571428571"	"0.8059298380358423"	"0.48395061728395067"	"28"	"2014.0"	"63637"	"1"	"0"	"0"
"60"	"3D Hand Pose Estimation"	"2021"	"0.2727272727272727"	"0.9487695103589049"	"0.8231292517006803"	"11"	"2014.0"	"37713"	"1"	"0"	"0"
"61"	"3D Human Pose Estimation"	"2013"	""	""	"1.0"	"1"	"2010.0"	"6822"	"1"	"0"	"0"
"62"	"3D Human Pose Estimation"	"2014"	""	""	"1.0"	"2"	"2010.0"	"9766"	"1"	"0"	"0"
"63"	"3D Human Pose Estimation"	"2015"	"0.7142857142857143"	"0.5916727785823274"	"0.6621621621621622"	"7"	"2010.0"	"12115"	"1"	"0"	"0"
"64"	"3D Human Pose Estimation"	"2016"	"0.47857142857142854"	"0.853069216438893"	"0.5482517482517483"	"28"	"2010.0"	"17276"	"1"	"0"	"0"
"65"	"3D Human Pose Estimation"	"2017"	"0.5364583333333333"	"0.8114839739832023"	"0.37647058823529406"	"48"	"2010.0"	"23430"	"1"	"0"	"0"
"66"	"3D Human Pose Estimation"	"2018"	"0.6054794520547945"	"0.7814261213852387"	"0.3656009879253568"	"73"	"2010.0"	"36754"	"1"	"0"	"0"
"67"	"3D Human Pose Estimation"	"2019"	"0.670126019273536"	"0.750587093575545"	"0.3200634920634921"	"142"	"2010.0"	"49025"	"1"	"0"	"0"
"68"	"3D Human Pose Estimation"	"2020"	"0.6604414261460102"	"0.7765577702450756"	"0.2975869304556355"	"209"	"2010.0"	"63637"	"1"	"0"	"0"
"69"	"3D Human Pose Estimation"	"2021"	"0.5514705882352942"	"0.8438273719034077"	"0.42378818737270874"	"102"	"2010.0"	"37713"	"1"	"0"	"0"
"70"	"3D Medical Imaging Segmentation"	"2015"	"0.0"	"0.9999999999999999"	"0.9999999999999997"	"10"	"2013.0"	"12115"	"1"	"0"	"0"
"71"	"3D Medical Imaging Segmentation"	"2016"	""	""	"1.0"	"1"	"2013.0"	"17276"	"1"	"0"	"0"
"72"	"3D Medical Imaging Segmentation"	"2018"	"0.0"	"1.0"	"1.0"	"2"	"2013.0"	"36754"	"1"	"0"	"0"
"73"	"3D Medical Imaging Segmentation"	"2020"	"0.2857142857142857"	"0.9165164431996023"	"0.7538461538461538"	"7"	"2013.0"	"63637"	"1"	"0"	"0"
"74"	"3D Medical Imaging Segmentation"	"2021"	""	""	"1.0"	"1"	"2013.0"	"37713"	"1"	"0"	"0"
"75"	"3D Multi-Person Pose Estimation"	"2019"	"0.0"	"1.0"	"1.0"	"4"	"2014.0"	"49025"	"1"	"0"	"0"
"76"	"3D Multi-Person Pose Estimation"	"2020"	"0.34722222222222227"	"0.9241300119861368"	"0.7762803234501348"	"24"	"2014.0"	"63637"	"1"	"0"	"0"
"77"	"3D Multi-Person Pose Estimation"	"2021"	"0.16666666666666666"	"0.9697238998682473"	"0.9"	"6"	"2014.0"	"37713"	"1"	"0"	"0"
"78"	"3D Object Classification"	"2016"	""	""	"1.0"	"3"	"2016.0"	"17276"	"1"	"0"	"0"
"79"	"3D Object Classification"	"2017"	"0.3333333333333333"	"0.8783471047618534"	"0.8181818181818182"	"9"	"2016.0"	"23430"	"1"	"0"	"0"
"80"	"3D Object Classification"	"2018"	"0.625"	"0.6695919455357793"	"0.5614035087719298"	"8"	"2016.0"	"36754"	"1"	"0"	"0"
"81"	"3D Object Classification"	"2019"	"0.5686274509803921"	"0.7725760985994748"	"0.5971074380165289"	"17"	"2016.0"	"49025"	"1"	"0"	"0"
"82"	"3D Object Classification"	"2020"	"0.5384615384615384"	"0.7559699029892674"	"0.6329588014981274"	"13"	"2016.0"	"63637"	"1"	"0"	"0"
"83"	"3D Object Classification"	"2021"	"0.5714285714285714"	"0.72483409150576"	"0.6049382716049382"	"7"	"2016.0"	"37713"	"1"	"0"	"0"
"84"	"3D Object Detection"	"2015"	"0.0"	"1.0000000000000002"	"0.9999999999999998"	"5"	"2012.0"	"12115"	"1"	"0"	"0"
"85"	"3D Object Detection"	"2016"	"0.48148148148148145"	"0.8288713632524446"	"0.6532258064516129"	"9"	"2012.0"	"17276"	"1"	"0"	"0"
"86"	"3D Object Detection"	"2017"	"0.39285714285714285"	"0.8932941324021465"	"0.7259259259259261"	"14"	"2012.0"	"23430"	"1"	"0"	"0"
"87"	"3D Object Detection"	"2018"	"0.6430976430976431"	"0.6727964136332958"	"0.2785166240409206"	"33"	"2012.0"	"36754"	"1"	"0"	"0"
"88"	"3D Object Detection"	"2019"	"0.7227722772277227"	"0.6099610245490518"	"0.19159685962210285"	"101"	"2012.0"	"49025"	"1"	"0"	"0"
"89"	"3D Object Detection"	"2020"	"0.7363834422657952"	"0.6542911932658658"	"0.21479080730701244"	"162"	"2012.0"	"63637"	"1"	"0"	"0"
"90"	"3D Object Detection"	"2021"	"0.7005649717514124"	"0.692526491639729"	"0.2621234939759036"	"118"	"2012.0"	"37713"	"1"	"0"	"0"
"91"	"3D Object Reconstruction"	"2016"	""	""	"1.0"	"3"	"2013.0"	"17276"	"1"	"0"	"0"
"92"	"3D Object Reconstruction"	"2017"	""	""	"1.0"	"4"	"2013.0"	"23430"	"1"	"0"	"0"
"93"	"3D Object Reconstruction"	"2018"	""	""	"1.0"	"6"	"2013.0"	"36754"	"1"	"0"	"0"
"94"	"3D Object Reconstruction"	"2019"	""	""	"1.0"	"6"	"2013.0"	"49025"	"1"	"0"	"0"
"95"	"3D Object Reconstruction"	"2020"	""	""	"1.0"	"11"	"2013.0"	"63637"	"1"	"0"	"0"
"96"	"3D Object Reconstruction"	"2021"	""	""	"1.0"	"3"	"2013.0"	"37713"	"1"	"0"	"0"
"97"	"3D Reconstruction"	"2015"	""	""	"1.0"	"1"	"2008.0"	"12115"	"1"	"0"	"0"
"98"	"3D Reconstruction"	"2016"	"0.2857142857142857"	"0.9165164431996023"	"0.7538461538461539"	"7"	"2008.0"	"17276"	"1"	"0"	"0"
"99"	"3D Reconstruction"	"2017"	"0.5290322580645161"	"0.800660416799774"	"0.4063424947145877"	"31"	"2008.0"	"23430"	"1"	"0"	"0"
"100"	"3D Reconstruction"	"2018"	"0.4718954248366013"	"0.8666816992555358"	"0.47071129707112974"	"45"	"2008.0"	"36754"	"1"	"0"	"0"
"101"	"3D Reconstruction"	"2019"	"0.5651260504201681"	"0.8046074956717536"	"0.36296296296296293"	"56"	"2008.0"	"49025"	"1"	"0"	"0"
"102"	"3D Reconstruction"	"2020"	"0.6582552271088681"	"0.684391129385025"	"0.1937818181818182"	"73"	"2008.0"	"63637"	"1"	"0"	"0"
"103"	"3D Reconstruction"	"2021"	"0.5419354838709678"	"0.7970204423333721"	"0.4063424947145877"	"31"	"2008.0"	"37713"	"1"	"0"	"0"
"104"	"3D Scene Reconstruction"	"2015"	"0.0"	"1.0"	"1.0"	"2"	"2008.0"	"12115"	"1"	"0"	"0"
"105"	"3D Scene Reconstruction"	"2016"	"0.0"	"1.0"	"1.0"	"2"	"2008.0"	"17276"	"1"	"0"	"0"
"106"	"3D Scene Reconstruction"	"2017"	"0.44999999999999996"	"0.8445412464587145"	"0.625"	"10"	"2008.0"	"23430"	"1"	"0"	"0"
"107"	"3D Scene Reconstruction"	"2018"	"0.3544973544973545"	"0.9226478039965375"	"0.7229508196721312"	"21"	"2008.0"	"36754"	"1"	"0"	"0"
"108"	"3D Scene Reconstruction"	"2019"	"0.2818181818181818"	"0.9538839771799713"	"0.8148148148148149"	"22"	"2008.0"	"49025"	"1"	"0"	"0"
"109"	"3D Scene Reconstruction"	"2020"	"0.2967032967032967"	"0.9383574700386478"	"0.7824074074074072"	"13"	"2008.0"	"63637"	"1"	"0"	"0"
"110"	"3D Scene Reconstruction"	"2021"	"0.2222222222222222"	"0.9591479170272448"	"0.8999999999999999"	"6"	"2008.0"	"37713"	"1"	"0"	"0"
"111"	"3D Semantic Segmentation"	"2016"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"2016.0"	"17276"	"1"	"0"	"0"
"112"	"3D Semantic Segmentation"	"2017"	"0.28888888888888886"	"0.935944697445866"	"0.7941176470588235"	"9"	"2016.0"	"23430"	"1"	"0"	"0"
"113"	"3D Semantic Segmentation"	"2018"	"0.40277777777777773"	"0.8902066119047681"	"0.6206896551724139"	"18"	"2016.0"	"36754"	"1"	"0"	"0"
"114"	"3D Semantic Segmentation"	"2019"	"0.4444444444444444"	"0.8854580676725214"	"0.6481012658227848"	"32"	"2016.0"	"49025"	"1"	"0"	"0"
"115"	"3D Semantic Segmentation"	"2020"	"0.5451219512195122"	"0.8408897015093298"	"0.43622680679901393"	"82"	"2016.0"	"63637"	"1"	"0"	"0"
"116"	"3D Semantic Segmentation"	"2021"	"0.3560606060606061"	"0.9260274924386706"	"0.7058823529411766"	"24"	"2016.0"	"37713"	"1"	"0"	"0"
"117"	"3D Shape Generation"	"2016"	""	""	"1.0"	"1"	"2016.0"	"17276"	"1"	"0"	"0"
"118"	"3D Shape Generation"	"2017"	"0.3333333333333333"	"0.9182958340544894"	"0.8999999999999999"	"3"	"2016.0"	"23430"	"1"	"0"	"0"
"119"	"3D Shape Generation"	"2018"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"2016.0"	"36754"	"1"	"0"	"0"
"120"	"3D Shape Generation"	"2019"	"0.5"	"0.7743974703476992"	"0.5714285714285714"	"8"	"2016.0"	"49025"	"1"	"0"	"0"
"121"	"3D Shape Generation"	"2020"	"0.5"	"0.8112781244591328"	"0.8"	"4"	"2016.0"	"63637"	"1"	"0"	"0"
"122"	"3D Shape Generation"	"2021"	""	""	"1.0"	"3"	"2016.0"	"37713"	"1"	"0"	"0"
"123"	"3D Shape Reconstruction"	"2017"	"0.6"	"0.7219280948873623"	"0.7352941176470587"	"5"	"2012.0"	"23430"	"1"	"0"	"0"
"124"	"3D Shape Reconstruction"	"2018"	"0.14285714285714285"	"0.9852281360342515"	"0.9800000000000002"	"7"	"2012.0"	"36754"	"1"	"0"	"0"
"125"	"3D Shape Reconstruction"	"2019"	"0.4285714285714286"	"0.8322488896002307"	"0.6447368421052632"	"7"	"2012.0"	"49025"	"1"	"0"	"0"
"126"	"3D Shape Reconstruction"	"2020"	"0.725"	"0.5563308144749579"	"0.3448275862068966"	"20"	"2012.0"	"63637"	"1"	"0"	"0"
"127"	"3D Shape Reconstruction"	"2021"	"0.0"	"1.0"	"1.0"	"2"	"2012.0"	"37713"	"1"	"0"	"0"
"128"	"3D Shape Reconstruction From A Single 2D Image"	"2020"	""	""	"1.0"	"1"	"2018.0"	"63637"	"1"	"0"	"0"
"129"	"6D Pose Estimation"	"2015"	""	""	"1.0"	"1"	"2015.0"	"12115"	"1"	"0"	"0"
"130"	"6D Pose Estimation"	"2016"	""	""	"1.0"	"2"	"2015.0"	"17276"	"1"	"0"	"0"
"131"	"6D Pose Estimation"	"2017"	"0.5"	"0.7896900821428474"	"0.6666666666666666"	"6"	"2015.0"	"23430"	"1"	"0"	"0"
"132"	"6D Pose Estimation"	"2018"	"0.15384615384615385"	"0.9770455804590026"	"0.9548022598870056"	"13"	"2015.0"	"36754"	"1"	"0"	"0"
"133"	"6D Pose Estimation"	"2019"	"0.5701754385964912"	"0.7904494020015042"	"0.5157142857142857"	"38"	"2015.0"	"49025"	"1"	"0"	"0"
"134"	"6D Pose Estimation"	"2020"	"0.5736842105263158"	"0.7878748934309666"	"0.4495641344956414"	"38"	"2015.0"	"63637"	"1"	"0"	"0"
"135"	"6D Pose Estimation"	"2021"	"0.6363636363636364"	"0.6913698302025114"	"0.5845410628019324"	"11"	"2015.0"	"37713"	"1"	"0"	"0"
"136"	"Abnormal Event Detection In Video"	"2016"	"0.0"	"1.0"	"1.0"	"2"	"2016.0"	"17276"	"1"	"0"	"1"
"137"	"Abnormal Event Detection In Video"	"2017"	"0.2"	"0.9709505944546688"	"0.9615384615384615"	"5"	"2016.0"	"23430"	"1"	"0"	"1"
"138"	"Abnormal Event Detection In Video"	"2018"	"0.3333333333333333"	"0.9211854965885543"	"0.8166666666666668"	"7"	"2016.0"	"36754"	"1"	"0"	"1"
