""	"task"	"gini"	"pielou"	"simpson"	"task_size"	"CV"	"NLP"	"Methodology"
"0"	"2D Human Pose Estimation"	"0.9310344827586208"	"0.21525706133631828"	"0.37007700770077007"	"116"	"1"	"0"	"0"
"1"	"2D Object Detection"	"0.8861826697892273"	"0.4367089595522856"	"0.07008958507568396"	"610"	"1"	"0"	"0"
"2"	"3D Absolute Human Pose Estimation"	"0.2857142857142857"	"0.942379352772432"	"0.8235294117647058"	"14"	"1"	"0"	"0"
"3"	"3D Action Recognition"	"0.7749869178440607"	"0.6328358533831167"	"0.16106527134903068"	"294"	"1"	"0"	"0"
"4"	"3D Car Instance Understanding"	"0.25"	"0.9463946303571861"	"0.8888888888888888"	"4"	"1"	"0"	"0"
"5"	"3D Depth Estimation"	"0.2222222222222222"	"0.9591479170272448"	"0.8999999999999999"	"6"	"1"	"0"	"0"
"6"	"3D FACE MODELING"	"0.2605042016806723"	"0.9555290352763198"	"0.8401162790697674"	"17"	"1"	"0"	"0"
"7"	"3D Face Alignment"	""	""	"1.0"	"6"	"0"	"0"	"0"
"8"	"3D Face Animation"	"0.8474358974358974"	"0.4228045743425884"	"0.13707296499367355"	"130"	"1"	"1"	"0"
"9"	"3D Face Reconstruction"	"0.5845875978326309"	"0.8342103795772025"	"0.37653994781517314"	"151"	"1"	"0"	"0"
"10"	"3D Facial Expression Recognition"	""	""	"1.0"	"1"	"1"	"0"	"0"
"11"	"3D Facial Landmark Localization"	"0.2222222222222222"	"0.9591479170272448"	"0.8999999999999999"	"6"	"1"	"0"	"0"
"12"	"3D Feature Matching"	"0.25"	"0.9528195311147832"	"0.8888888888888888"	"8"	"1"	"0"	"0"
"13"	"3D Geometry Perception"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"1"	"0"	"0"
"14"	"3D Hand Pose Estimation"	"0.544776119402985"	"0.8285857851575031"	"0.4911915964547544"	"67"	"1"	"0"	"0"
"15"	"3D Human Pose Estimation"	"0.7508739930080559"	"0.7064063904315276"	"0.1898640236508818"	"612"	"1"	"0"	"0"
"16"	"3D Human Pose Tracking"	""	""	"1.0"	"2"	"1"	"0"	"0"
"17"	"3D Human Reconstruction"	"0.0"	"1.0"	"1.0"	"2"	"1"	"0"	"0"
"18"	"3D Instance Segmentation"	"0.6049382716049382"	"0.7675639102969425"	"0.43008849557522133"	"54"	"1"	"0"	"0"
"19"	"3D Medical Imaging Segmentation"	"0.21904761904761905"	"0.9552222128375472"	"0.7449324324324325"	"21"	"1"	"0"	"0"
"20"	"3D Multi-Object Tracking"	"0.6"	"0.7339518855765055"	"0.46174142480211067"	"35"	"1"	"0"	"0"
"21"	"3D Multi-Person Pose Estimation"	"0.37815126050420167"	"0.910940001877859"	"0.7372448979591837"	"34"	"1"	"0"	"0"
"22"	"3D Multi-Person Pose Estimation (absolute)"	""	""	"1.0"	"5"	"1"	"0"	"0"
"23"	"3D Multi-Person Pose Estimation (root-relative)"	""	""	"1.0"	"6"	"1"	"0"	"0"
"24"	"3D Object Classification"	"0.7280701754385965"	"0.6134921930578391"	"0.4189555125725339"	"57"	"1"	"0"	"0"
"25"	"3D Object Detection"	"0.7786740114105843"	"0.6139055067222704"	"0.153843488559621"	"442"	"1"	"0"	"0"
"26"	"3D Object Detection From Monocular Images"	"0.5"	"0.7743974703476993"	"0.5714285714285714"	"8"	"1"	"0"	"0"
"27"	"3D Object Detection From Stereo Images"	"0.6666666666666666"	"0.6500224216483541"	"0.6923076923076922"	"6"	"0"	"0"	"0"
