""	"task"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"CV"	"NLP"	"Methodology"
"0"	"3D Object Detection"	"8.0"	"168.0"	"7.0"	"215.0"	"391.0"	"2012.0"	"0.7813953488372093"	"1.1428571428571428"	"0.4386422976501306"	"0.5333333333333333"	"1"	"0"	"0"
"1"	"Action Classification"	"12.0"	"289.0"	"14.0"	"138.0"	"439.0"	"2009.0"	"2.0942028985507246"	"0.8571428571428571"	"0.6768149882903981"	"0.46153846153846156"	"1"	"0"	"0"
"3"	"Action Recognition"	"34.0"	"338.0"	"9.0"	"503.0"	"875.0"	"2008.0"	"0.6719681908548708"	"3.7777777777777777"	"0.40190249702734837"	"0.7906976744186046"	"1"	"0"	"0"
"8"	"Depth Estimation"	"17.0"	"1082.0"	"5.0"	"37.0"	"1136.0"	"2009.0"	"29.243243243243242"	"3.4"	"0.966934763181412"	"0.7727272727272727"	"1"	"0"	"0"
"9"	"Domain Adaptation"	"19.0"	"1327.0"	"11.0"	"419.0"	"1765.0"	"2007.0"	"3.1670644391408116"	"1.7272727272727273"	"0.7600229095074456"	"0.6333333333333333"	"1"	"0"	"1"
"11"	"Face Recognition"	"22.0"	"438.0"	"12.0"	"776.0"	"1236.0"	"2007.0"	"0.5644329896907216"	"1.8333333333333333"	"0.36079077429983525"	"0.6470588235294118"	"1"	"0"	"0"
"15"	"Few-Shot Learning"	"5.0"	"510.0"	"2.0"	"36.0"	"551.0"	"2013.0"	"14.166666666666666"	"2.5"	"0.9340659340659341"	"0.7142857142857143"	"1"	"0"	"1"
"17"	"Image Captioning"	"11.0"	"372.0"	"5.0"	"58.0"	"441.0"	"2011.0"	"6.413793103448276"	"2.2"	"0.8651162790697674"	"0.6875"	"1"	"0"	"0"
"18"	"Image Classification"	"40.0"	"69.0"	"7.0"	"2125.0"	"2234.0"	"2007.0"	"0.03247058823529412"	"5.714285714285714"	"0.031449407474931634"	"0.851063829787234"	"1"	"0"	"1"
"20"	"Image Generation"	"8.0"	"1165.0"	"12.0"	"88.0"	"1261.0"	"2013.0"	"13.238636363636363"	"0.6666666666666666"	"0.9297685554668795"	"0.4"	"1"	"1"	"0"
"22"	"Image Super-Resolution"	"11.0"	"199.0"	"7.0"	"261.0"	"471.0"	"2010.0"	"0.7624521072796935"	"1.5714285714285714"	"0.4326086956521739"	"0.6111111111111112"	"1"	"0"	"0"
"23"	"Image-to-Image Translation"	"6.0"	"409.0"	"15.0"	"0.0"	"415.0"	"2015.0"	"inf"	"0.4"	"1.0"	"0.2857142857142857"	"1"	"0"	"0"
"24"	"Instance Segmentation"	"14.0"	"170.0"	"5.0"	"460.0"	"644.0"	"2012.0"	"0.3695652173913043"	"2.8"	"0.2698412698412698"	"0.7368421052631579"	"1"	"0"	"0"
"26"	"Language Modelling"	"23.0"	"157.0"	"20.0"	"307.0"	"487.0"	"2001.0"	"0.511400651465798"	"1.15"	"0.33836206896551724"	"0.5348837209302325"	"0"	"1"	"0"
"27"	"Link Prediction"	"12.0"	"114.0"	"3.0"	"400.0"	"526.0"	"2007.0"	"0.285"	"4.0"	"0.22178988326848248"	"0.8"	"0"	"0"	"0"
"31"	"Natural Language Inference"	"23.0"	"2.0"	"2.0"	"732.0"	"757.0"	"2009.0"	"0.00273224043715847"	"11.5"	"0.0027247956403269754"	"0.92"	"0"	"1"	"0"
"32"	"Node Classification"	"8.0"	"0.0"	"0.0"	"451.0"	"459.0"	"2000.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"33"	"Object Detection"	"56.0"	"1289.0"	"15.0"	"696.0"	"2041.0"	"2007.0"	"1.8520114942528736"	"3.7333333333333334"	"0.6493702770780856"	"0.7887323943661971"	"1"	"0"	"0"
"36"	"Optical Character Recognition"	"15.0"	"16.0"	"1.0"	"424.0"	"455.0"	"1994.0"	"0.03773584905660377"	"15.0"	"0.03636363636363636"	"0.9375"	"1"	"1"	"1"
"38"	"Person Re-Identification"	"18.0"	"0.0"	"0.0"	"893.0"	"911.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"39"	"Pose Estimation"	"54.0"	"273.0"	"4.0"	"86.0"	"413.0"	"2010.0"	"3.1744186046511627"	"13.5"	"0.7604456824512534"	"0.9310344827586207"	"1"	"0"	"0"
"41"	"Question Answering"	"138.0"	"535.0"	"26.0"	"1792.0"	"2465.0"	"2009.0"	"0.29854910714285715"	"5.3076923076923075"	"0.22990975504941985"	"0.8414634146341463"	"0"	"1"	"0"
"43"	"Reading Comprehension"	"72.0"	"118.0"	"12.0"	"929.0"	"1119.0"	"2012.0"	"0.12701829924650163"	"6.0"	"0.11270296084049666"	"0.8571428571428571"	"0"	"1"	"0"
"47"	"Semantic Segmentation"	"76.0"	"1666.0"	"9.0"	"1183.0"	"2925.0"	"2001.0"	"1.4082840236686391"	"8.444444444444445"	"0.5847665847665847"	"0.8941176470588236"	"1"	"0"	"0"
"48"	"Sentiment Analysis"	"24.0"	"79.0"	"1.0"	"539.0"	"642.0"	"2002.0"	"0.14656771799628943"	"24.0"	"0.127831715210356"	"0.96"	"0"	"1"	"0"
"49"	"Speech Recognition"	"23.0"	"77.0"	"2.0"	"571.0"	"671.0"	"2003.0"	"0.13485113835376533"	"11.5"	"0.11882716049382716"	"0.92"	"0"	"0"	"0"
"51"	"Temporal Action Localization"	"23.0"	"151.0"	"4.0"	"489.0"	"663.0"	"2008.0"	"0.30879345603271985"	"5.75"	"0.2359375"	"0.8518518518518519"	"1"	"0"	"1"
"53"	"Video Classification"	"21.0"	"96.0"	"12.0"	"292.0"	"409.0"	"2012.0"	"0.3287671232876712"	"1.75"	"0.24742268041237114"	"0.6363636363636364"	"1"	"0"	"0"
"56"	"Video Understanding"	"10.0"	"485.0"	"20.0"	"16.0"	"511.0"	"2013.0"	"30.3125"	"0.5"	"0.9680638722554891"	"0.3333333333333333"	"1"	"0"	"0"
"57"	"Visual Question Answering"	"34.0"	"253.0"	"7.0"	"1044.0"	"1331.0"	"2015.0"	"0.24233716475095785"	"4.857142857142857"	"0.19506553585196607"	"0.8292682926829268"	"1"	"1"	"0"
"60"	"Zero-Shot Learning"	"6.0"	"398.0"	"3.0"	"150.0"	"554.0"	"2009.0"	"2.6533333333333333"	"2.0"	"0.7262773722627737"	"0.6666666666666666"	"1"	"0"	"1"
