""	"task"	"year"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_homegrown"	"num_dataset_imports"	"num_papers_growing"	"num_converted_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"pwc_size"	"CV"	"NLP"	"Methodology"
"1"	"2D Object Detection"	"2018.0"	"1.0"	"12.0"	"2.0"	"3.0"	"0.0"	"0.0"	"13.0"	"2013.0"	"inf"	"0.3333333333333333"	"1.0"	"0.25"	"36748"	"1"	"0"	"0"
"2"	"2D Object Detection"	"2020.0"	"1.0"	"58.0"	"3.0"	"0.0"	"3.0"	"0.0"	"62.0"	"2013.0"	"19.333333333333332"	"inf"	"0.9508196721311475"	"1.0"	"63637"	"1"	"0"	"0"
"6"	"3D Face Reconstruction"	"2016.0"	"1.0"	"4.0"	"8.0"	"0.0"	"1.0"	"0.0"	"6.0"	"2014.0"	"4.0"	"inf"	"0.8"	"1.0"	"17279"	"1"	"0"	"0"
"7"	"3D Face Reconstruction"	"2019.0"	"1.0"	"9.0"	"9.0"	"0.0"	"9.0"	"1.0"	"19.0"	"2014.0"	"1.0"	"inf"	"0.5"	"1.0"	"49025"	"1"	"0"	"0"
"10"	"3D Human Pose Estimation"	"2014.0"	"1.0"	"0.0"	"12.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"9769"	"1"	"0"	"0"
"11"	"3D Human Pose Estimation"	"2016.0"	"1.0"	"0.0"	"13.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"17279"	"1"	"0"	"0"
"12"	"3D Human Pose Estimation"	"2017.0"	"4.0"	"5.0"	"14.0"	"0.0"	"0.0"	"0.0"	"9.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	"23433"	"1"	"0"	"0"
"13"	"3D Human Pose Estimation"	"2019.0"	"1.0"	"19.0"	"18.0"	"0.0"	"0.0"	"0.0"	"20.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"14"	"3D Human Pose Estimation"	"2021.0"	"1.0"	"24.0"	"19.0"	"0.0"	"3.0"	"0.0"	"28.0"	"2010.0"	"8.0"	"inf"	"0.8888888888888888"	"1.0"	"37713"	"1"	"0"	"0"
"16"	"3D Object Detection"	"2012.0"	"1.0"	"0.0"	"21.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4725"	"1"	"0"	"0"
"17"	"3D Object Detection"	"2019.0"	"1.0"	"50.0"	"22.0"	"0.0"	"60.0"	"0.0"	"111.0"	"2012.0"	"0.8333333333333334"	"inf"	"0.45454545454545453"	"1.0"	"49025"	"1"	"0"	"0"
"18"	"3D Reconstruction"	"2018.0"	"2.0"	"19.0"	"28.0"	"0.0"	"5.0"	"4.0"	"26.0"	"2008.0"	"3.8"	"inf"	"0.7916666666666666"	"1.0"	"36748"	"1"	"0"	"0"
"19"	"3D Reconstruction"	"2019.0"	"1.0"	"30.0"	"30.0"	"0.0"	"8.0"	"7.0"	"39.0"	"2008.0"	"3.75"	"inf"	"0.7894736842105263"	"1.0"	"49025"	"1"	"0"	"0"
"20"	"3D Semantic Segmentation"	"2019.0"	"1.0"	"16.0"	"31.0"	"0.0"	"0.0"	"0.0"	"17.0"	"2016.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"21"	"3D Semantic Segmentation"	"2021.0"	"1.0"	"16.0"	"32.0"	"0.0"	"0.0"	"0.0"	"17.0"	"2016.0"	"inf"	"inf"	"1.0"	"1.0"	"37713"	"1"	"0"	"0"
"30"	"Action Classification"	"2012.0"	"1.0"	"0.0"	"53.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"4725"	"1"	"0"	"0"
"31"	"Action Classification"	"2017.0"	"1.0"	"63.0"	"54.0"	"0.0"	"15.0"	"10.0"	"79.0"	"2009.0"	"4.2"	"inf"	"0.8076923076923077"	"1.0"	"23433"	"1"	"0"	"0"
"32"	"Action Classification"	"2018.0"	"1.0"	"52.0"	"55.0"	"11.0"	"19.0"	"16.0"	"72.0"	"2009.0"	"2.736842105263158"	"0.09090909090909091"	"0.7323943661971831"	"0.08333333333333333"	"36748"	"1"	"0"	"0"
"33"	"Action Classification"	"2019.0"	"2.0"	"85.0"	"56.0"	"0.0"	"27.0"	"23.0"	"114.0"	"2009.0"	"3.1481481481481484"	"inf"	"0.7589285714285714"	"1.0"	"49025"	"1"	"0"	"0"
"34"	"Action Detection"	"2012.0"	"1.0"	"0.0"	"58.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4725"	"1"	"0"	"0"
"35"	"Action Detection"	"2015.0"	"1.0"	"0.0"	"59.0"	"0.0"	"2.0"	"1.0"	"3.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"12124"	"1"	"0"	"0"
"36"	"Action Detection"	"2020.0"	"1.0"	"16.0"	"60.0"	"0.0"	"29.0"	"0.0"	"46.0"	"2012.0"	"0.5517241379310345"	"inf"	"0.35555555555555557"	"1.0"	"63637"	"1"	"0"	"0"
"38"	"Action Recognition"	"2011.0"	"1.0"	"0.0"	"64.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	"351"	"1"	"0"	"0"
"39"	"Action Recognition"	"2012.0"	"2.0"	"0.0"	"65.0"	"0.0"	"1.0"	"1.0"	"3.0"	"2008.0"	"0.0"	"inf"	"0.0"	"1.0"	"4725"	"1"	"0"	"0"
"40"	"Action Recognition"	"2014.0"	"1.0"	"1.0"	"67.0"	"0.0"	"8.0"	"0.0"	"10.0"	"2008.0"	"0.125"	"inf"	"0.1111111111111111"	"1.0"	"9769"	"1"	"0"	"0"
"41"	"Action Recognition"	"2015.0"	"1.0"	"3.0"	"68.0"	"0.0"	"29.0"	"0.0"	"33.0"	"2008.0"	"0.10344827586206896"	"inf"	"0.09375"	"1.0"	"12124"	"1"	"0"	"0"
"42"	"Action Recognition"	"2016.0"	"4.0"	"6.0"	"69.0"	"0.0"	"35.0"	"0.0"	"45.0"	"2008.0"	"0.17142857142857143"	"inf"	"0.14634146341463414"	"1.0"	"17279"	"1"	"0"	"0"
"43"	"Action Recognition"	"2017.0"	"3.0"	"19.0"	"73.0"	"0.0"	"49.0"	"4.0"	"71.0"	"2008.0"	"0.3877551020408163"	"inf"	"0.27941176470588236"	"1.0"	"23433"	"1"	"0"	"0"
"44"	"Action Recognition"	"2018.0"	"2.0"	"52.0"	"76.0"	"7.0"	"48.0"	"8.0"	"102.0"	"2008.0"	"1.0833333333333333"	"0.2857142857142857"	"0.52"	"0.2222222222222222"	"36748"	"1"	"0"	"0"
"45"	"Action Recognition"	"2020.0"	"3.0"	"133.0"	"78.0"	"0.0"	"141.0"	"4.0"	"277.0"	"2008.0"	"0.9432624113475178"	"inf"	"0.4854014598540146"	"1.0"	"63637"	"1"	"0"	"0"
"46"	"Action Recognition"	"2021.0"	"1.0"	"65.0"	"81.0"	"0.0"	"86.0"	"8.0"	"152.0"	"2008.0"	"0.7558139534883721"	"inf"	"0.4304635761589404"	"1.0"	"37713"	"1"	"0"	"0"
"50"	"Anomaly Detection"	"2008.0"	"1.0"	"0.0"	"87.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	"200"	"1"	"0"	"1"
"51"	"Anomaly Detection"	"2015.0"	"1.0"	"0.0"	"88.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	"12124"	"1"	"0"	"1"
"52"	"Anomaly Detection"	"2018.0"	"2.0"	"21.0"	"89.0"	"0.0"	"6.0"	"0.0"	"29.0"	"2008.0"	"3.5"	"inf"	"0.7777777777777778"	"1.0"	"36748"	"1"	"0"	"1"
"53"	"Anomaly Detection"	"2019.0"	"2.0"	"35.0"	"91.0"	"0.0"	"6.0"	"1.0"	"43.0"	"2008.0"	"5.833333333333333"	"inf"	"0.8536585365853658"	"1.0"	"49025"	"1"	"0"	"1"
"54"	"Anomaly Detection"	"2021.0"	"2.0"	"46.0"	"93.0"	"0.0"	"12.0"	"0.0"	"60.0"	"2008.0"	"3.8333333333333335"	"inf"	"0.7931034482758621"	"1.0"	"37713"	"1"	"0"	"1"
"57"	"Atari Games"	"2012.0"	"1.0"	"0.0"	"103.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4725"	"0"	"0"	"0"
"58"	"Atari Games"	"2019.0"	"1.0"	"0.0"	"104.0"	"0.0"	"21.0"	"0.0"	"22.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"0"	"0"	"0"
"59"	"Atari Games"	"2020.0"	"1.0"	"1.0"	"105.0"	"0.0"	"22.0"	"1.0"	"24.0"	"2012.0"	"0.045454545454545456"	"inf"	"0.043478260869565216"	"1.0"	"63637"	"0"	"0"	"0"
"61"	"Autonomous Driving"	"2017.0"	"1.0"	"4.0"	"113.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2009.0"	"inf"	"inf"	"1.0"	"1.0"	"23433"	"1"	"0"	"0"
"62"	"Autonomous Driving"	"2020.0"	"1.0"	"24.0"	"114.0"	"0.0"	"75.0"	"3.0"	"100.0"	"2009.0"	"0.32"	"inf"	"0.24242424242424243"	"1.0"	"63637"	"1"	"0"	"0"
"63"	"Autonomous Vehicles"	"2017.0"	"1.0"	"0.0"	"115.0"	"0.0"	"1.0"	"1.0"	"2.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"23433"	"1"	"0"	"0"
"70"	"Computed Tomography (CT)"	"2016.0"	"1.0"	"0.0"	"139.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2013.0"	""	"inf"	""	"1.0"	"17279"	"0"	"0"	"1"
"71"	"Computed Tomography (CT)"	"2019.0"	"1.0"	"0.0"	"140.0"	"0.0"	"9.0"	"0.0"	"10.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"0"	"0"	"1"
"72"	"Continuous Control"	"2012.0"	"1.0"	"0.0"	"143.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4725"	"1"	"0"	"0"
"73"	"Continuous Control"	"2018.0"	"1.0"	"22.0"	"144.0"	"0.0"	"18.0"	"4.0"	"41.0"	"2012.0"	"1.2222222222222223"	"inf"	"0.55"	"1.0"	"36748"	"1"	"0"	"0"
"74"	"Coreference Resolution"	"2012.0"	"1.0"	"0.0"	"148.0"	"0.0"	"6.0"	"6.0"	"7.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"4725"	"0"	"1"	"0"
"75"	"Coreference Resolution"	"2014.0"	"1.0"	"0.0"	"149.0"	"0.0"	"3.0"	"3.0"	"4.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"9769"	"0"	"1"	"0"
"76"	"Coreference Resolution"	"2018.0"	"2.0"	"0.0"	"150.0"	"0.0"	"13.0"	"4.0"	"15.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"36748"	"0"	"1"	"0"
"77"	"Coreference Resolution"	"2019.0"	"6.0"	"2.0"	"152.0"	"0.0"	"32.0"	"14.0"	"40.0"	"2009.0"	"0.0625"	"inf"	"0.058823529411764705"	"1.0"	"49025"	"0"	"1"	"0"
