""	"task"	"year"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_homegrown"	"num_dataset_imports"	"num_papers_growing"	"num_converted_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"conversion_pct"	"pwc_size"	"CV"	"NLP"	"Methodology"
"0"	"2D Human Pose Estimation"	"2021.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2014.0"	""	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"1"	"2D Object Detection"	"2018.0"	"1.0"	"14.0"	"2.0"	"10.0"	"0.0"	"0.0"	"15.0"	"2013.0"	"inf"	"0.1"	"1.0"	"0.09090909090909091"	""	"36748"	"1"	"0"	"0"
"2"	"2D Object Detection"	"2020.0"	"1.0"	"68.0"	"3.0"	"0.0"	"3.0"	"0.0"	"72.0"	"2013.0"	"22.666666666666668"	"inf"	"0.9577464788732394"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"4"	"3D Action Recognition"	"2014.0"	"1.0"	"1.0"	"5.0"	"0.0"	"2.0"	"0.0"	"4.0"	"2014.0"	"0.5"	"inf"	"0.3333333333333333"	"1.0"	"0.0"	"9769"	"1"	"0"	"0"
"5"	"3D Action Recognition"	"2016.0"	"2.0"	"1.0"	"6.0"	"0.0"	"1.0"	"0.0"	"4.0"	"2014.0"	"1.0"	"inf"	"0.5"	"1.0"	"0.0"	"17279"	"1"	"0"	"0"
"6"	"3D Face Reconstruction"	"2016.0"	"1.0"	"5.0"	"8.0"	"0.0"	"1.0"	"0.0"	"7.0"	"2014.0"	"5.0"	"inf"	"0.8333333333333334"	"1.0"	"0.0"	"17279"	"1"	"0"	"0"
"7"	"3D Face Reconstruction"	"2019.0"	"1.0"	"12.0"	"9.0"	"0.0"	"9.0"	"1.0"	"22.0"	"2014.0"	"1.3333333333333333"	"inf"	"0.5714285714285714"	"1.0"	"0.1111111111111111"	"49025"	"1"	"0"	"0"
"8"	"3D Hand Pose Estimation"	"2017.0"	"1.0"	"4.0"	"10.0"	"3.0"	"0.0"	"0.0"	"5.0"	"2014.0"	"inf"	"0.3333333333333333"	"1.0"	"0.25"	""	"23433"	"1"	"0"	"0"
"9"	"3D Hand Pose Estimation"	"2020.0"	"1.0"	"1.0"	"11.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	""	"63637"	"1"	"0"	"0"
"10"	"3D Human Pose Estimation"	"2014.0"	"1.0"	"0.0"	"12.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	""	"9769"	"1"	"0"	"0"
"11"	"3D Human Pose Estimation"	"2016.0"	"1.0"	"0.0"	"13.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	""	"17279"	"1"	"0"	"0"
"12"	"3D Human Pose Estimation"	"2017.0"	"4.0"	"5.0"	"14.0"	"0.0"	"0.0"	"0.0"	"9.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	""	"23433"	"1"	"0"	"0"
"13"	"3D Human Pose Estimation"	"2019.0"	"1.0"	"19.0"	"18.0"	"0.0"	"0.0"	"0.0"	"20.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	""	"49025"	"1"	"0"	"0"
