""	"task"	"categories"	"parents"	"children"	"siblings"
"0"	"Optical Character Recognition"	"['Computer Vision', 'Natural Language Processing', 'Methodology']"	"[]"	"['Active Learning', 'Handwriting Recognition', 'Handwritten Digit Recognition', 'Irregular Text Recognition', 'Offline Handwritten Chinese Character Recognition', 'Word Spotting In Handwritten Documents', 'Handwritten Digit Image Synthesis', 'Handwritten Chinese Text Recognition']"	"[]"
"1"	"Active Learning"	"['Computer Vision', 'Natural Language Processing', 'Methodology']"	"['Optical Character Recognition']"	"['Active Object Detection']"	"['Word Spotting In Handwritten Documents', 'Handwritten Digit Image Synthesis', 'Active Learning', 'Handwritten Chinese Text Recognition', 'Handwritten Digit Recognition', 'Handwriting Recognition', 'Offline Handwritten Chinese Character Recognition', 'Irregular Text Recognition']"
"2"	"Handwriting Recognition"	"[]"	"['Optical Character Recognition']"	"[]"	"['Word Spotting In Handwritten Documents', 'Handwritten Digit Image Synthesis', 'Active Learning', 'Handwritten Chinese Text Recognition', 'Handwritten Digit Recognition', 'Handwriting Recognition', 'Offline Handwritten Chinese Character Recognition', 'Irregular Text Recognition']"
"3"	"Handwritten Digit Recognition"	"[]"	"['Optical Character Recognition']"	"[]"	"['Word Spotting In Handwritten Documents', 'Handwritten Digit Image Synthesis', 'Active Learning', 'Handwritten Chinese Text Recognition', 'Handwritten Digit Recognition', 'Handwriting Recognition', 'Offline Handwritten Chinese Character Recognition', 'Irregular Text Recognition']"
"4"	"Irregular Text Recognition"	"[]"	"['Optical Character Recognition']"	"[]"	"['Word Spotting In Handwritten Documents', 'Handwritten Digit Image Synthesis', 'Active Learning', 'Handwritten Chinese Text Recognition', 'Handwritten Digit Recognition', 'Handwriting Recognition', 'Offline Handwritten Chinese Character Recognition', 'Irregular Text Recognition']"
"5"	"Offline Handwritten Chinese Character Recognition"	"[]"	"['Optical Character Recognition', 'Chinese']"	"[]"	"['Word Spotting In Handwritten Documents', 'Handwritten Digit Image Synthesis', 'Chinese Zero Pronoun Resolution', 'Chinese Spelling Error Correction', 'Active Learning', 'Handwritten Chinese Text Recognition', 'Chinese Word Segmentation', 'Handwritten Digit Recognition', 'Handwriting Recognition', 'Offline Handwritten Chinese Character Recognition', 'Irregular Text Recognition']"
"6"	"Word Spotting In Handwritten Documents"	"[]"	"['Optical Character Recognition']"	"[]"	"['Word Spotting In Handwritten Documents', 'Handwritten Digit Image Synthesis', 'Active Learning', 'Handwritten Chinese Text Recognition', 'Handwritten Digit Recognition', 'Handwriting Recognition', 'Offline Handwritten Chinese Character Recognition', 'Irregular Text Recognition']"
"7"	"Handwritten Digit Image Synthesis"	"[]"	"['Optical Character Recognition']"	"[]"	"['Word Spotting In Handwritten Documents', 'Handwritten Digit Image Synthesis', 'Active Learning', 'Handwritten Chinese Text Recognition', 'Handwritten Digit Recognition', 'Handwriting Recognition', 'Offline Handwritten Chinese Character Recognition', 'Irregular Text Recognition']"
"8"	"Handwritten Chinese Text Recognition"	"[]"	"['Optical Character Recognition', 'Chinese']"	"[]"	"['Word Spotting In Handwritten Documents', 'Handwritten Digit Image Synthesis', 'Chinese Zero Pronoun Resolution', 'Chinese Spelling Error Correction', 'Active Learning', 'Handwritten Chinese Text Recognition', 'Chinese Word Segmentation', 'Handwritten Digit Recognition', 'Handwriting Recognition', 'Offline Handwritten Chinese Character Recognition', 'Irregular Text Recognition']"
"9"	"Deblurring"	"['Computer Vision']"	"[]"	"['Blind Image Deblurring', 'Single-Image Blind Deblurring']"	"[]"
"10"	"Blind Image Deblurring"	"[]"	"['Deblurring']"	"[]"	"['Single-Image Blind Deblurring', 'Blind Image Deblurring']"
"11"	"Single-Image Blind Deblurring"	"[]"	"['Deblurring']"	"[]"	"['Single-Image Blind Deblurring', 'Blind Image Deblurring']"
"12"	"Foveation"	"['Computer Vision']"	"[]"	"[]"	"[]"
"13"	"Crime Prediction"	"['Miscellaneous']"	"[]"	"[]"	"[]"
"14"	"Structured Prediction"	"['Methodology']"	"[]"	"[]"	"[]"
"15"	"Trajectory Prediction"	"['Time Series', 'Computer Vision', 'Miscellaneous']"	"[]"	"['Trajectory Forecasting', 'Human motion prediction']"	"[]"
"16"	"Trajectory Forecasting"	"[]"	"['Trajectory Prediction']"	"[]"	"['Trajectory Forecasting', 'Human motion prediction']"
"17"	"Human motion prediction"	"[]"	"['Trajectory Prediction']"	"[]"	"['Trajectory Forecasting', 'Human motion prediction']"
"18"	"Depth Estimation"	"['Computer Vision']"	"[]"	"['Monocular Depth Estimation', 'Stereo Depth Estimation', 'Depth And Camera Motion', '3D Depth Estimation', 'Stereo-LiDAR Fusion', 'Indoor Monocular Depth Estimation', 'Depth Map Super-Resolution', 'Depth Image Upsampling']"	"[]"
